barcode	gene symbol	value
TCGA-08-0626-11A-01R-0344-07	15E1.2	-1.4242
TCGA-08-0626-11A-01R-0344-07	2'-PDE	0.10375
TCGA-08-0626-11A-01R-0344-07	7A5	-2.981
TCGA-08-0626-11A-01R-0344-07	A1BG	0.2735
TCGA-08-0626-11A-01R-0344-07	A2BP1	5.91
TCGA-08-0626-11A-01R-0344-07	A2M	0.9122
TCGA-08-0626-11A-01R-0344-07	A2ML1	0.793333333333333
TCGA-08-0626-11A-01R-0344-07	A3GALT2	-0.2094
TCGA-08-0626-11A-01R-0344-07	A4GALT	-0.71225
TCGA-08-0626-11A-01R-0344-07	A4GNT	0.383
TCGA-08-0626-11A-01R-0344-07	AAAS	-1.1508
TCGA-08-0626-11A-01R-0344-07	AACS	0.481
TCGA-08-0626-11A-01R-0344-07	AADAC	-1.1072
TCGA-08-0626-11A-01R-0344-07	AADACL1	2.3344
TCGA-08-0626-11A-01R-0344-07	AADACL2	-0.0646
TCGA-08-0626-11A-01R-0344-07	AADACL3	0.918
TCGA-08-0626-11A-01R-0344-07	AADACL4	-0.665333333333333
TCGA-08-0626-11A-01R-0344-07	AADAT	0.3182
TCGA-08-0626-11A-01R-0344-07	AAK1	0.713823529411765
TCGA-08-0626-11A-01R-0344-07	AAMP	-0.8774
TCGA-08-0626-11A-01R-0344-07	AANAT	0.348666666666667
TCGA-08-0626-11A-01R-0344-07	AARS	0.014
TCGA-08-0626-11A-01R-0344-07	AARS2	0.11175
TCGA-08-0626-11A-01R-0344-07	AARSD1	0.5304
TCGA-08-0626-11A-01R-0344-07	AASDH	-0.00499999999999998
TCGA-08-0626-11A-01R-0344-07	AASDHPPT	1.04392307692308
TCGA-08-0626-11A-01R-0344-07	AASS	-0.952
TCGA-08-0626-11A-01R-0344-07	AATF	-0.9036
TCGA-08-0626-11A-01R-0344-07	AATK	2.20130769230769
TCGA-08-0626-11A-01R-0344-07	ABAT	2.52946153846154
TCGA-08-0626-11A-01R-0344-07	ABBA-1	1.27026666666667
TCGA-08-0626-11A-01R-0344-07	ABCA1	-0.1685
TCGA-08-0626-11A-01R-0344-07	ABCA10	0.1405
TCGA-08-0626-11A-01R-0344-07	ABCA11	0.28
TCGA-08-0626-11A-01R-0344-07	ABCA12	-3.6812
TCGA-08-0626-11A-01R-0344-07	ABCA13	-0.449
TCGA-08-0626-11A-01R-0344-07	ABCA2	1.7744
TCGA-08-0626-11A-01R-0344-07	ABCA3	2.38563636363636
TCGA-08-0626-11A-01R-0344-07	ABCA4	-0.174333333333333
TCGA-08-0626-11A-01R-0344-07	ABCA5	0.9455
TCGA-08-0626-11A-01R-0344-07	ABCA6	2.04646153846154
TCGA-08-0626-11A-01R-0344-07	ABCA7	-1.161
TCGA-08-0626-11A-01R-0344-07	ABCA8	2.3366
TCGA-08-0626-11A-01R-0344-07	ABCA9	1.92938461538462
TCGA-08-0626-11A-01R-0344-07	ABCB1	1.40345454545455
TCGA-08-0626-11A-01R-0344-07	ABCB10	-0.679166666666667
TCGA-08-0626-11A-01R-0344-07	ABCB11	0.158
TCGA-08-0626-11A-01R-0344-07	ABCB4	-0.7568
TCGA-08-0626-11A-01R-0344-07	ABCB5	-0.164
TCGA-08-0626-11A-01R-0344-07	ABCB6	-0.300461538461538
TCGA-08-0626-11A-01R-0344-07	ABCB7	-1.7874
TCGA-08-0626-11A-01R-0344-07	ABCB8	-0.602875
TCGA-08-0626-11A-01R-0344-07	ABCB9	0.742375
TCGA-08-0626-11A-01R-0344-07	ABCC1	-3.25
TCGA-08-0626-11A-01R-0344-07	ABCC10	-1.2234
TCGA-08-0626-11A-01R-0344-07	ABCC11	0.822875
TCGA-08-0626-11A-01R-0344-07	ABCC12	3.483
TCGA-08-0626-11A-01R-0344-07	ABCC13	0.554363636363636
TCGA-08-0626-11A-01R-0344-07	ABCC2	-4.37622222222222
TCGA-08-0626-11A-01R-0344-07	ABCC3	-3.99372727272727
TCGA-08-0626-11A-01R-0344-07	ABCC4	-2.1160625
TCGA-08-0626-11A-01R-0344-07	ABCC5	0.3892
TCGA-08-0626-11A-01R-0344-07	ABCC6	-1.46844444444444
TCGA-08-0626-11A-01R-0344-07	ABCC8	4.5102
TCGA-08-0626-11A-01R-0344-07	ABCC9	1.95336363636364
TCGA-08-0626-11A-01R-0344-07	ABCD1	-0.875333333333333
TCGA-08-0626-11A-01R-0344-07	ABCD2	3.069
TCGA-08-0626-11A-01R-0344-07	ABCD3	-0.379
TCGA-08-0626-11A-01R-0344-07	ABCD4	-0.431375
TCGA-08-0626-11A-01R-0344-07	ABCE1	-0.7546
TCGA-08-0626-11A-01R-0344-07	ABCF1	-0.780769230769231
TCGA-08-0626-11A-01R-0344-07	ABCF2	-0.619909090909091
TCGA-08-0626-11A-01R-0344-07	ABCF3	0.290375
TCGA-08-0626-11A-01R-0344-07	ABCG1	1.25633333333333
TCGA-08-0626-11A-01R-0344-07	ABCG2	0.4668
TCGA-08-0626-11A-01R-0344-07	ABCG4	2.0815
TCGA-08-0626-11A-01R-0344-07	ABCG5	-2.569
TCGA-08-0626-11A-01R-0344-07	ABCG8	-1.29866666666667
TCGA-08-0626-11A-01R-0344-07	ABHD1	1.0012
TCGA-08-0626-11A-01R-0344-07	ABHD10	0.339461538461538
TCGA-08-0626-11A-01R-0344-07	ABHD11	-0.794307692307692
TCGA-08-0626-11A-01R-0344-07	ABHD12	0.472538461538462
TCGA-08-0626-11A-01R-0344-07	ABHD12B	-0.1792
TCGA-08-0626-11A-01R-0344-07	ABHD13	0.646384615384615
TCGA-08-0626-11A-01R-0344-07	ABHD14A	2.0372
TCGA-08-0626-11A-01R-0344-07	ABHD14B	-1.2233
TCGA-08-0626-11A-01R-0344-07	ABHD2	0.0917142857142857
TCGA-08-0626-11A-01R-0344-07	ABHD3	-1.4438
TCGA-08-0626-11A-01R-0344-07	ABHD4	-0.4786
TCGA-08-0626-11A-01R-0344-07	ABHD5	-1.475
TCGA-08-0626-11A-01R-0344-07	ABHD6	2.7218
TCGA-08-0626-11A-01R-0344-07	ABHD7	3.6064
TCGA-08-0626-11A-01R-0344-07	ABHD8	2.0384
TCGA-08-0626-11A-01R-0344-07	ABHD9	0.533666666666667
TCGA-08-0626-11A-01R-0344-07	ABI1	-0.040625
TCGA-08-0626-11A-01R-0344-07	ABI2	0.43225
TCGA-08-0626-11A-01R-0344-07	ABI3	1.1466
TCGA-08-0626-11A-01R-0344-07	ABI3BP	-1.2686
TCGA-08-0626-11A-01R-0344-07	ABL1	-0.76312
TCGA-08-0626-11A-01R-0344-07	ABL2	-0.0904666666666667
TCGA-08-0626-11A-01R-0344-07	ABLIM1	1.731
TCGA-08-0626-11A-01R-0344-07	ABLIM2	4.2722
TCGA-08-0626-11A-01R-0344-07	ABLIM3	0.769384615384615
TCGA-08-0626-11A-01R-0344-07	ABO	-0.038375
TCGA-08-0626-11A-01R-0344-07	ABP1	0.366727272727273
TCGA-08-0626-11A-01R-0344-07	ABR	3.8488
TCGA-08-0626-11A-01R-0344-07	ABRA	0.451
TCGA-08-0626-11A-01R-0344-07	ABT1	-1.7582
TCGA-08-0626-11A-01R-0344-07	ABTB1	0.906125
TCGA-08-0626-11A-01R-0344-07	ABTB2	0.313
TCGA-08-0626-11A-01R-0344-07	ACAA1	0.0678461538461539
TCGA-08-0626-11A-01R-0344-07	ACAA2	-0.550727272727273
TCGA-08-0626-11A-01R-0344-07	ACACA	-0.3709375
TCGA-08-0626-11A-01R-0344-07	ACACB	0.8914
TCGA-08-0626-11A-01R-0344-07	ACAD10	-0.720375
TCGA-08-0626-11A-01R-0344-07	ACAD11	-0.989285714285714
TCGA-08-0626-11A-01R-0344-07	ACAD8	0.6702
TCGA-08-0626-11A-01R-0344-07	ACAD9	-0.4237
TCGA-08-0626-11A-01R-0344-07	ACADL	0.81675
TCGA-08-0626-11A-01R-0344-07	ACADM	-0.690636363636364
TCGA-08-0626-11A-01R-0344-07	ACADS	-0.825571428571428
TCGA-08-0626-11A-01R-0344-07	ACADSB	-0.518208333333333
TCGA-08-0626-11A-01R-0344-07	ACADVL	-1.390875
TCGA-08-0626-11A-01R-0344-07	ACAN	0.943
TCGA-08-0626-11A-01R-0344-07	ACAT1	-0.736
TCGA-08-0626-11A-01R-0344-07	ACBD3	0.137769230769231
TCGA-08-0626-11A-01R-0344-07	ACBD4	-0.0479090909090909
TCGA-08-0626-11A-01R-0344-07	ACBD5	0.9382
