barcode	gene symbol	value
TCGA-02-0269-01B-01R-0282-07	15E1.2	-1.897
TCGA-02-0269-01B-01R-0282-07	2'-PDE	-0.4544
TCGA-02-0269-01B-01R-0282-07	7A5	-1.48433333333333
TCGA-02-0269-01B-01R-0282-07	A1BG	0.658375
TCGA-02-0269-01B-01R-0282-07	A2BP1	0.37725
TCGA-02-0269-01B-01R-0282-07	A2M	1.3262
TCGA-02-0269-01B-01R-0282-07	A2ML1	0.789
TCGA-02-0269-01B-01R-0282-07	A3GALT2	-0.2438
TCGA-02-0269-01B-01R-0282-07	A4GALT	-0.329
TCGA-02-0269-01B-01R-0282-07	A4GNT	0.231333333333333
TCGA-02-0269-01B-01R-0282-07	AAAS	0.1322
TCGA-02-0269-01B-01R-0282-07	AACS	-1.224
TCGA-02-0269-01B-01R-0282-07	AADAC	-0.2558
TCGA-02-0269-01B-01R-0282-07	AADACL1	-1.0154
TCGA-02-0269-01B-01R-0282-07	AADACL2	0.1272
TCGA-02-0269-01B-01R-0282-07	AADACL3	0.168333333333333
TCGA-02-0269-01B-01R-0282-07	AADACL4	-0.543666666666667
TCGA-02-0269-01B-01R-0282-07	AADAT	0.0794
TCGA-02-0269-01B-01R-0282-07	AAK1	0.207117647058824
TCGA-02-0269-01B-01R-0282-07	AAMP	-0.5028
TCGA-02-0269-01B-01R-0282-07	AANAT	0.172333333333333
TCGA-02-0269-01B-01R-0282-07	AARS	-0.82275
TCGA-02-0269-01B-01R-0282-07	AARS2	0.019875
TCGA-02-0269-01B-01R-0282-07	AARSD1	-0.4176
TCGA-02-0269-01B-01R-0282-07	AASDH	0.206090909090909
TCGA-02-0269-01B-01R-0282-07	AASDHPPT	-0.476307692307692
TCGA-02-0269-01B-01R-0282-07	AASS	0.7514
TCGA-02-0269-01B-01R-0282-07	AATF	-0.3517
TCGA-02-0269-01B-01R-0282-07	AATK	0.241846153846154
TCGA-02-0269-01B-01R-0282-07	ABAT	1.96207692307692
