barcode	gene symbol	value
TCGA-12-1598-01A-01R-0598-07	15E1.2	-0.6982
TCGA-12-1598-01A-01R-0598-07	2'-PDE	0.3057
TCGA-12-1598-01A-01R-0598-07	7A5	-1.68166666666667
TCGA-12-1598-01A-01R-0598-07	A1BG	-1.0105
TCGA-12-1598-01A-01R-0598-07	A2BP1	1.88225
TCGA-12-1598-01A-01R-0598-07	A2M	0.8892
TCGA-12-1598-01A-01R-0598-07	A2ML1	0.569333333333333
TCGA-12-1598-01A-01R-0598-07	A3GALT2	0.7222
TCGA-12-1598-01A-01R-0598-07	A4GALT	-1.759375
TCGA-12-1598-01A-01R-0598-07	A4GNT	0.624
TCGA-12-1598-01A-01R-0598-07	AAAS	-0.6734
TCGA-12-1598-01A-01R-0598-07	AACS	-1.7882
TCGA-12-1598-01A-01R-0598-07	AADAC	-0.9372
TCGA-12-1598-01A-01R-0598-07	AADACL1	-0.2084
TCGA-12-1598-01A-01R-0598-07	AADACL2	0.06
TCGA-12-1598-01A-01R-0598-07	AADACL3	0.563333333333333
TCGA-12-1598-01A-01R-0598-07	AADACL4	-0.426
TCGA-12-1598-01A-01R-0598-07	AADAT	0.4322
TCGA-12-1598-01A-01R-0598-07	AAK1	-0.199529411764706
TCGA-12-1598-01A-01R-0598-07	AAMP	-1.232
TCGA-12-1598-01A-01R-0598-07	AANAT	0.361666666666667
TCGA-12-1598-01A-01R-0598-07	AARS	-1.536625
TCGA-12-1598-01A-01R-0598-07	AARS2	-0.4225
TCGA-12-1598-01A-01R-0598-07	AARSD1	-1.1792
TCGA-12-1598-01A-01R-0598-07	AASDH	0.3473
TCGA-12-1598-01A-01R-0598-07	AASDHPPT	-0.415692307692308
TCGA-12-1598-01A-01R-0598-07	AASS	0.1032
TCGA-12-1598-01A-01R-0598-07	AATF	-0.1801
TCGA-12-1598-01A-01R-0598-07	AATK	0.163461538461538
TCGA-12-1598-01A-01R-0598-07	ABAT	2.13546153846154
TCGA-12-1598-01A-01R-0598-07	ABBA-1	0.6768
TCGA-12-1598-01A-01R-0598-07	ABCA1	1.856625
TCGA-12-1598-01A-01R-0598-07	ABCA10	-0.799666666666667
TCGA-12-1598-01A-01R-0598-07	ABCA11	0.448333333333333
TCGA-12-1598-01A-01R-0598-07	ABCA12	-4.057
TCGA-12-1598-01A-01R-0598-07	ABCA13	-0.263272727272727
TCGA-12-1598-01A-01R-0598-07	ABCA2	-0.7266
TCGA-12-1598-01A-01R-0598-07	ABCA3	0.989909090909091
TCGA-12-1598-01A-01R-0598-07	ABCA4	-0.753
TCGA-12-1598-01A-01R-0598-07	ABCA5	0.4825
TCGA-12-1598-01A-01R-0598-07	ABCA6	2.22461538461538
TCGA-12-1598-01A-01R-0598-07	ABCA7	-2.1826
TCGA-12-1598-01A-01R-0598-07	ABCA8	2.6674
TCGA-12-1598-01A-01R-0598-07	ABCA9	1.085
TCGA-12-1598-01A-01R-0598-07	ABCB1	1.12772727272727
TCGA-12-1598-01A-01R-0598-07	ABCB10	-0.371333333333333
TCGA-12-1598-01A-01R-0598-07	ABCB11	0.484666666666667
TCGA-12-1598-01A-01R-0598-07	ABCB4	-0.2658
TCGA-12-1598-01A-01R-0598-07	ABCB5	0.144666666666667
TCGA-12-1598-01A-01R-0598-07	ABCB6	-0.596076923076923
TCGA-12-1598-01A-01R-0598-07	ABCB7	0.161
TCGA-12-1598-01A-01R-0598-07	ABCB8	-0.89575
TCGA-12-1598-01A-01R-0598-07	ABCB9	-0.16075
TCGA-12-1598-01A-01R-0598-07	ABCC1	-2.877625
TCGA-12-1598-01A-01R-0598-07	ABCC10	-1.6978
TCGA-12-1598-01A-01R-0598-07	ABCC11	0.22925
TCGA-12-1598-01A-01R-0598-07	ABCC12	0.2625
TCGA-12-1598-01A-01R-0598-07	ABCC13	0.1078
TCGA-12-1598-01A-01R-0598-07	ABCC2	-4.90633333333333
TCGA-12-1598-01A-01R-0598-07	ABCC3	1.88936363636364
TCGA-12-1598-01A-01R-0598-07	ABCC4	-0.91075
TCGA-12-1598-01A-01R-0598-07	ABCC5	-0.6052
TCGA-12-1598-01A-01R-0598-07	ABCC6	-1.69727777777778
TCGA-12-1598-01A-01R-0598-07	ABCC8	2.9344
TCGA-12-1598-01A-01R-0598-07	ABCC9	1.69827272727273
TCGA-12-1598-01A-01R-0598-07	ABCD1	-1.19966666666667
TCGA-12-1598-01A-01R-0598-07	ABCD2	1.58816666666667
TCGA-12-1598-01A-01R-0598-07	ABCD3	1.15221428571429
TCGA-12-1598-01A-01R-0598-07	ABCD4	0.190625
TCGA-12-1598-01A-01R-0598-07	ABCE1	-0.1676
TCGA-12-1598-01A-01R-0598-07	ABCF1	-0.239230769230769
TCGA-12-1598-01A-01R-0598-07	ABCF2	-0.226818181818182
TCGA-12-1598-01A-01R-0598-07	ABCF3	0.013875
TCGA-12-1598-01A-01R-0598-07	ABCG1	0.726
TCGA-12-1598-01A-01R-0598-07	ABCG2	0.8458
TCGA-12-1598-01A-01R-0598-07	ABCG4	0.307166666666667
TCGA-12-1598-01A-01R-0598-07	ABCG5	-3.802
TCGA-12-1598-01A-01R-0598-07	ABCG8	-0.198333333333333
TCGA-12-1598-01A-01R-0598-07	ABHD1	0.019
TCGA-12-1598-01A-01R-0598-07	ABHD10	0.180833333333333
TCGA-12-1598-01A-01R-0598-07	ABHD11	-0.691
TCGA-12-1598-01A-01R-0598-07	ABHD12	0.676846153846154
TCGA-12-1598-01A-01R-0598-07	ABHD12B	-1.5042
TCGA-12-1598-01A-01R-0598-07	ABHD13	0.469230769230769
TCGA-12-1598-01A-01R-0598-07	ABHD14A	0.2466
TCGA-12-1598-01A-01R-0598-07	ABHD14B	-0.7609
TCGA-12-1598-01A-01R-0598-07	ABHD2	-0.436785714285714
TCGA-12-1598-01A-01R-0598-07	ABHD3	0.1344
TCGA-12-1598-01A-01R-0598-07	ABHD4	0.4302
TCGA-12-1598-01A-01R-0598-07	ABHD5	0.5924
TCGA-12-1598-01A-01R-0598-07	ABHD6	1.2894
TCGA-12-1598-01A-01R-0598-07	ABHD7	2.2676
TCGA-12-1598-01A-01R-0598-07	ABHD8	0.0922
TCGA-12-1598-01A-01R-0598-07	ABHD9	-0.204
TCGA-12-1598-01A-01R-0598-07	ABI1	0.083
TCGA-12-1598-01A-01R-0598-07	ABI2	0.372625
TCGA-12-1598-01A-01R-0598-07	ABI3	2.802
TCGA-12-1598-01A-01R-0598-07	ABI3BP	1.5688
TCGA-12-1598-01A-01R-0598-07	ABL1	-0.74984
TCGA-12-1598-01A-01R-0598-07	ABL2	-0.3432
TCGA-12-1598-01A-01R-0598-07	ABLIM1	0.114375
TCGA-12-1598-01A-01R-0598-07	ABLIM2	1.9214
TCGA-12-1598-01A-01R-0598-07	ABLIM3	-0.262692307692308
TCGA-12-1598-01A-01R-0598-07	ABO	-0.06
TCGA-12-1598-01A-01R-0598-07	ABP1	-0.496909090909091
TCGA-12-1598-01A-01R-0598-07	ABR	0.00499999999999999
TCGA-12-1598-01A-01R-0598-07	ABRA	-0.1856
TCGA-12-1598-01A-01R-0598-07	ABT1	-0.091
TCGA-12-1598-01A-01R-0598-07	ABTB1	-0.067
TCGA-12-1598-01A-01R-0598-07	ABTB2	-0.6064
TCGA-12-1598-01A-01R-0598-07	ACAA1	0.301
TCGA-12-1598-01A-01R-0598-07	ACAA2	-0.549909090909091
TCGA-12-1598-01A-01R-0598-07	ACACA	-0.407625
TCGA-12-1598-01A-01R-0598-07	ACACB	-0.5024
TCGA-12-1598-01A-01R-0598-07	ACAD10	-0.831875
TCGA-12-1598-01A-01R-0598-07	ACAD11	-0.387214285714286
TCGA-12-1598-01A-01R-0598-07	ACAD8	0.6412
TCGA-12-1598-01A-01R-0598-07	ACAD9	-0.7651
TCGA-12-1598-01A-01R-0598-07	ACADL	1.065625
TCGA-12-1598-01A-01R-0598-07	ACADM	0.500272727272727
TCGA-12-1598-01A-01R-0598-07	ACADS	-0.9315
TCGA-12-1598-01A-01R-0598-07	ACADSB	-1.51429166666667
TCGA-12-1598-01A-01R-0598-07	ACADVL	-2.020625
TCGA-12-1598-01A-01R-0598-07	ACAN	2.0905
TCGA-12-1598-01A-01R-0598-07	ACAT1	-1.127
TCGA-12-1598-01A-01R-0598-07	ACBD3	0.472153846153846
TCGA-12-1598-01A-01R-0598-07	ACBD4	-0.484727272727273
TCGA-12-1598-01A-01R-0598-07	ACBD5	0.1556
TCGA-12-1598-01A-01R-0598-07	ACBD6	0.4772
TCGA-12-1598-01A-01R-0598-07	ACCN1	0.134285714285714
TCGA-12-1598-01A-01R-0598-07	ACCN2	1.6648
TCGA-12-1598-01A-01R-0598-07	ACCN3	-0.338
TCGA-12-1598-01A-01R-0598-07	ACCN4	0.334625
TCGA-12-1598-01A-01R-0598-07	ACCN5	-0.278333333333333
TCGA-12-1598-01A-01R-0598-07	ACD	-0.188
TCGA-12-1598-01A-01R-0598-07	ACE	-0.244
TCGA-12-1598-01A-01R-0598-07	ACE2	-0.4494
TCGA-12-1598-01A-01R-0598-07	ACF	-3.44825
TCGA-12-1598-01A-01R-0598-07	ACHE	0.23575
TCGA-12-1598-01A-01R-0598-07	ACIN1	-1.59125
TCGA-12-1598-01A-01R-0598-07	ACLY	0.230181818181818
TCGA-12-1598-01A-01R-0598-07	ACMSD	-0.8572
TCGA-12-1598-01A-01R-0598-07	ACN9	0.53
TCGA-12-1598-01A-01R-0598-07	ACO1	-1.238875
TCGA-12-1598-01A-01R-0598-07	ACOT11	0.393947368421053
TCGA-12-1598-01A-01R-0598-07	ACOT12	0.5264
TCGA-12-1598-01A-01R-0598-07	ACOT2	-0.897125
TCGA-12-1598-01A-01R-0598-07	ACOT4	-1.426
TCGA-12-1598-01A-01R-0598-07	ACOT6	0.6952
TCGA-12-1598-01A-01R-0598-07	ACOT7	-0.485
TCGA-12-1598-01A-01R-0598-07	ACOT8	0.654
TCGA-12-1598-01A-01R-0598-07	ACOT9	-0.1685
TCGA-12-1598-01A-01R-0598-07	ACOX1	0.373857142857143
TCGA-12-1598-01A-01R-0598-07	ACOX2	-0.23475
TCGA-12-1598-01A-01R-0598-07	ACOX3	0.434090909090909
TCGA-12-1598-01A-01R-0598-07	ACP1	0.076
TCGA-12-1598-01A-01R-0598-07	ACP2	-0.3035
TCGA-12-1598-01A-01R-0598-07	ACP5	-1.697375
TCGA-12-1598-01A-01R-0598-07	ACP6	-1.33325
TCGA-12-1598-01A-01R-0598-07	ACPL2	1.7564
TCGA-12-1598-01A-01R-0598-07	ACPP	-0.091
TCGA-12-1598-01A-01R-0598-07	ACPT	0.25525
TCGA-12-1598-01A-01R-0598-07	ACR	0.921538461538462
TCGA-12-1598-01A-01R-0598-07	ACRBP	-1.6646
TCGA-12-1598-01A-01R-0598-07	ACRC	0.327
TCGA-12-1598-01A-01R-0598-07	ACRV1	-0.386375
TCGA-12-1598-01A-01R-0598-07	ACSBG1	1.2804
TCGA-12-1598-01A-01R-0598-07	ACSBG2	0.26
TCGA-12-1598-01A-01R-0598-07	ACSL1	0.7564
TCGA-12-1598-01A-01R-0598-07	ACSL3	-0.0173
TCGA-12-1598-01A-01R-0598-07	ACSL4	-1.3556
TCGA-12-1598-01A-01R-0598-07	ACSL5	-1.222625
TCGA-12-1598-01A-01R-0598-07	ACSL6	2.92036363636364
TCGA-12-1598-01A-01R-0598-07	ACSM1	-2.37933333333333
TCGA-12-1598-01A-01R-0598-07	ACSM2A	-0.532
TCGA-12-1598-01A-01R-0598-07	ACSM2B	-1.9754
TCGA-12-1598-01A-01R-0598-07	ACSM3	-5.183
TCGA-12-1598-01A-01R-0598-07	ACSS1	-0.9367
TCGA-12-1598-01A-01R-0598-07	ACSS2	-1.121
TCGA-12-1598-01A-01R-0598-07	ACTA1	-1.54725
TCGA-12-1598-01A-01R-0598-07	ACTA2	2.851125
TCGA-12-1598-01A-01R-0598-07	ACTB	0.817857142857143
TCGA-12-1598-01A-01R-0598-07	ACTBL1	-1.81575
TCGA-12-1598-01A-01R-0598-07	ACTC1	0.214615384615385
TCGA-12-1598-01A-01R-0598-07	ACTG1	0.380857142857143
TCGA-12-1598-01A-01R-0598-07	ACTG2	0.550384615384615
TCGA-12-1598-01A-01R-0598-07	ACTL6A	-0.125625
TCGA-12-1598-01A-01R-0598-07	ACTL6B	1.911875
TCGA-12-1598-01A-01R-0598-07	ACTL7A	0.1592
TCGA-12-1598-01A-01R-0598-07	ACTL7B	-0.00260000000000001
TCGA-12-1598-01A-01R-0598-07	ACTL8	-3.31325
TCGA-12-1598-01A-01R-0598-07	ACTN1	-0.835846153846154
TCGA-12-1598-01A-01R-0598-07	ACTN2	4.544
TCGA-12-1598-01A-01R-0598-07	ACTN3	-0.758
TCGA-12-1598-01A-01R-0598-07	ACTN4	-0.778888888888889
TCGA-12-1598-01A-01R-0598-07	ACTR10	0.5715
TCGA-12-1598-01A-01R-0598-07	ACTR1A	-0.0548333333333333
TCGA-12-1598-01A-01R-0598-07	ACTR1B	-1.0712
TCGA-12-1598-01A-01R-0598-07	ACTR2	-0.689846153846154
TCGA-12-1598-01A-01R-0598-07	ACTR3	0.0219
TCGA-12-1598-01A-01R-0598-07	ACTR3B	-0.2123
TCGA-12-1598-01A-01R-0598-07	ACTR5	-0.3622
TCGA-12-1598-01A-01R-0598-07	ACTR6	0.649
TCGA-12-1598-01A-01R-0598-07	ACTR8	0.462
