barcode	gene symbol	value
TCGA-06-0882-01A-01R-0388-07	15E1.2	-1.618
TCGA-06-0882-01A-01R-0388-07	2'-PDE	-0.09865
TCGA-06-0882-01A-01R-0388-07	7A5	-1.636
TCGA-06-0882-01A-01R-0388-07	A1BG	0.90125
TCGA-06-0882-01A-01R-0388-07	A2BP1	2.012875
TCGA-06-0882-01A-01R-0388-07	A2M	3.0214
TCGA-06-0882-01A-01R-0388-07	A2ML1	0.494
TCGA-06-0882-01A-01R-0388-07	A3GALT2	-0.0396
TCGA-06-0882-01A-01R-0388-07	A4GALT	-0.160375
TCGA-06-0882-01A-01R-0388-07	A4GNT	0.285
TCGA-06-0882-01A-01R-0388-07	AAAS	-0.4498
TCGA-06-0882-01A-01R-0388-07	AACS	-1.2356
TCGA-06-0882-01A-01R-0388-07	AADAC	-0.2998
TCGA-06-0882-01A-01R-0388-07	AADACL1	-0.2326
TCGA-06-0882-01A-01R-0388-07	AADACL2	0.0118
TCGA-06-0882-01A-01R-0388-07	AADACL3	0.382333333333333
TCGA-06-0882-01A-01R-0388-07	AADACL4	-0.535666666666667
TCGA-06-0882-01A-01R-0388-07	AADAT	0.0176
TCGA-06-0882-01A-01R-0388-07	AAK1	-0.0501764705882353
TCGA-06-0882-01A-01R-0388-07	AAMP	0.149
TCGA-06-0882-01A-01R-0388-07	AANAT	0.174333333333333
TCGA-06-0882-01A-01R-0388-07	AARS	-0.730375
TCGA-06-0882-01A-01R-0388-07	AARS2	-0.39275
TCGA-06-0882-01A-01R-0388-07	AARSD1	-1.069
TCGA-06-0882-01A-01R-0388-07	AASDH	0.193272727272727
TCGA-06-0882-01A-01R-0388-07	AASDHPPT	-0.319615384615385
TCGA-06-0882-01A-01R-0388-07	AASS	1.2954
TCGA-06-0882-01A-01R-0388-07	AATF	-1.2708
TCGA-06-0882-01A-01R-0388-07	AATK	1.03176923076923
TCGA-06-0882-01A-01R-0388-07	ABAT	2.54707692307692
TCGA-06-0882-01A-01R-0388-07	ABBA-1	0.977133333333333
TCGA-06-0882-01A-01R-0388-07	ABCA1	1.40125
TCGA-06-0882-01A-01R-0388-07	ABCA10	0.076
TCGA-06-0882-01A-01R-0388-07	ABCA11	0.388
TCGA-06-0882-01A-01R-0388-07	ABCA12	-3.193
TCGA-06-0882-01A-01R-0388-07	ABCA13	0.473727272727273
TCGA-06-0882-01A-01R-0388-07	ABCA2	0.7912
TCGA-06-0882-01A-01R-0388-07	ABCA3	1.921
TCGA-06-0882-01A-01R-0388-07	ABCA4	-0.418
TCGA-06-0882-01A-01R-0388-07	ABCA5	-1.0706
TCGA-06-0882-01A-01R-0388-07	ABCA6	0.628538461538462
TCGA-06-0882-01A-01R-0388-07	ABCA7	-0.9378
TCGA-06-0882-01A-01R-0388-07	ABCA8	2.7442
TCGA-06-0882-01A-01R-0388-07	ABCA9	1.19646153846154
TCGA-06-0882-01A-01R-0388-07	ABCB1	1.91918181818182
TCGA-06-0882-01A-01R-0388-07	ABCB10	-1.2565
TCGA-06-0882-01A-01R-0388-07	ABCB11	0.169
TCGA-06-0882-01A-01R-0388-07	ABCB4	0.00699999999999999
TCGA-06-0882-01A-01R-0388-07	ABCB5	0.0756666666666667
TCGA-06-0882-01A-01R-0388-07	ABCB6	0.0573076923076923
TCGA-06-0882-01A-01R-0388-07	ABCB7	-0.6864
TCGA-06-0882-01A-01R-0388-07	ABCB8	-0.385
TCGA-06-0882-01A-01R-0388-07	ABCB9	0.769875
TCGA-06-0882-01A-01R-0388-07	ABCC1	-2.565125
TCGA-06-0882-01A-01R-0388-07	ABCC10	-0.2136
TCGA-06-0882-01A-01R-0388-07	ABCC11	-0.050875
TCGA-06-0882-01A-01R-0388-07	ABCC12	0.80975
TCGA-06-0882-01A-01R-0388-07	ABCC13	0.00127272727272728
TCGA-06-0882-01A-01R-0388-07	ABCC2	-3.11666666666667
TCGA-06-0882-01A-01R-0388-07	ABCC3	0.555818181818182
TCGA-06-0882-01A-01R-0388-07	ABCC4	-0.990625
TCGA-06-0882-01A-01R-0388-07	ABCC5	-0.451866666666667
TCGA-06-0882-01A-01R-0388-07	ABCC6	-0.8205
TCGA-06-0882-01A-01R-0388-07	ABCC8	1.7106
TCGA-06-0882-01A-01R-0388-07	ABCC9	2.69981818181818
TCGA-06-0882-01A-01R-0388-07	ABCD1	-0.0256666666666667
TCGA-06-0882-01A-01R-0388-07	ABCD2	2.31883333333333
TCGA-06-0882-01A-01R-0388-07	ABCD3	0.305142857142857
TCGA-06-0882-01A-01R-0388-07	ABCD4	0.939
TCGA-06-0882-01A-01R-0388-07	ABCE1	-0.758
TCGA-06-0882-01A-01R-0388-07	ABCF1	-0.314923076923077
TCGA-06-0882-01A-01R-0388-07	ABCF2	-0.502454545454545
TCGA-06-0882-01A-01R-0388-07	ABCF3	-0.213625
TCGA-06-0882-01A-01R-0388-07	ABCG1	1.09633333333333
TCGA-06-0882-01A-01R-0388-07	ABCG2	1.4922
TCGA-06-0882-01A-01R-0388-07	ABCG4	0.685833333333333
TCGA-06-0882-01A-01R-0388-07	ABCG5	-2.8836
TCGA-06-0882-01A-01R-0388-07	ABCG8	-0.228333333333333
TCGA-06-0882-01A-01R-0388-07	ABHD1	1.9934
TCGA-06-0882-01A-01R-0388-07	ABHD10	-0.400538461538462
TCGA-06-0882-01A-01R-0388-07	ABHD11	-0.302384615384615
TCGA-06-0882-01A-01R-0388-07	ABHD12	0.407461538461538
TCGA-06-0882-01A-01R-0388-07	ABHD12B	-0.588
TCGA-06-0882-01A-01R-0388-07	ABHD13	-0.280615384615385
TCGA-06-0882-01A-01R-0388-07	ABHD14A	0.3454
TCGA-06-0882-01A-01R-0388-07	ABHD14B	-0.48
TCGA-06-0882-01A-01R-0388-07	ABHD2	0.138035714285714
TCGA-06-0882-01A-01R-0388-07	ABHD3	-1.4674
TCGA-06-0882-01A-01R-0388-07	ABHD4	0.5858
TCGA-06-0882-01A-01R-0388-07	ABHD5	-0.2726
TCGA-06-0882-01A-01R-0388-07	ABHD6	1.335
TCGA-06-0882-01A-01R-0388-07	ABHD7	0.6778
TCGA-06-0882-01A-01R-0388-07	ABHD8	0.4612
TCGA-06-0882-01A-01R-0388-07	ABHD9	0.636
TCGA-06-0882-01A-01R-0388-07	ABI1	0.404875
TCGA-06-0882-01A-01R-0388-07	ABI2	0.338625
TCGA-06-0882-01A-01R-0388-07	ABI3	2.553
TCGA-06-0882-01A-01R-0388-07	ABI3BP	-1.7054
TCGA-06-0882-01A-01R-0388-07	ABL1	-0.19224
TCGA-06-0882-01A-01R-0388-07	ABL2	-0.476866666666667
TCGA-06-0882-01A-01R-0388-07	ABLIM1	1.418125
TCGA-06-0882-01A-01R-0388-07	ABLIM2	1.77
TCGA-06-0882-01A-01R-0388-07	ABLIM3	-0.441307692307692
TCGA-06-0882-01A-01R-0388-07	ABO	0.0405
TCGA-06-0882-01A-01R-0388-07	ABP1	0.275636363636364
TCGA-06-0882-01A-01R-0388-07	ABR	2.3366
TCGA-06-0882-01A-01R-0388-07	ABRA	0.0366
TCGA-06-0882-01A-01R-0388-07	ABT1	-0.9044
TCGA-06-0882-01A-01R-0388-07	ABTB1	0.3795
TCGA-06-0882-01A-01R-0388-07	ABTB2	0.381
TCGA-06-0882-01A-01R-0388-07	ACAA1	0.951846153846154
TCGA-06-0882-01A-01R-0388-07	ACAA2	0.134090909090909
TCGA-06-0882-01A-01R-0388-07	ACACA	-1.22075
TCGA-06-0882-01A-01R-0388-07	ACACB	-0.0448
TCGA-06-0882-01A-01R-0388-07	ACAD10	-0.3291875
TCGA-06-0882-01A-01R-0388-07	ACAD11	0.220857142857143
TCGA-06-0882-01A-01R-0388-07	ACAD8	0.9354
TCGA-06-0882-01A-01R-0388-07	ACAD9	-0.1453
TCGA-06-0882-01A-01R-0388-07	ACADL	0.957375
TCGA-06-0882-01A-01R-0388-07	ACADM	-0.409090909090909
TCGA-06-0882-01A-01R-0388-07	ACADS	-0.246571428571429
TCGA-06-0882-01A-01R-0388-07	ACADSB	-1.46154166666667
TCGA-06-0882-01A-01R-0388-07	ACADVL	-0.479625
TCGA-06-0882-01A-01R-0388-07	ACAN	0.803166666666667
TCGA-06-0882-01A-01R-0388-07	ACAT1	0.0623333333333333
TCGA-06-0882-01A-01R-0388-07	ACBD3	-0.220615384615385
TCGA-06-0882-01A-01R-0388-07	ACBD4	-0.0540909090909091
TCGA-06-0882-01A-01R-0388-07	ACBD5	0.5683
TCGA-06-0882-01A-01R-0388-07	ACBD6	-0.671
TCGA-06-0882-01A-01R-0388-07	ACCN1	0.4545
TCGA-06-0882-01A-01R-0388-07	ACCN2	1.6886
TCGA-06-0882-01A-01R-0388-07	ACCN3	-0.175333333333333
TCGA-06-0882-01A-01R-0388-07	ACCN4	-0.055625
TCGA-06-0882-01A-01R-0388-07	ACCN5	0.141
TCGA-06-0882-01A-01R-0388-07	ACD	-0.80275
TCGA-06-0882-01A-01R-0388-07	ACE	0.176333333333333
