barcode	gene symbol	value
TCGA-14-1043-01B-11R-1847-07	15E1.2	-1.4904
TCGA-14-1043-01B-11R-1847-07	2'-PDE	0.3035
TCGA-14-1043-01B-11R-1847-07	7A5	-2.57466666666667
TCGA-14-1043-01B-11R-1847-07	A1BG	1.058
TCGA-14-1043-01B-11R-1847-07	A2BP1	0.35525
TCGA-14-1043-01B-11R-1847-07	A2M	3.1246
TCGA-14-1043-01B-11R-1847-07	A2ML1	1.321
TCGA-14-1043-01B-11R-1847-07	A3GALT2	0.3032
TCGA-14-1043-01B-11R-1847-07	A4GALT	-1.020125
TCGA-14-1043-01B-11R-1847-07	A4GNT	0.389666666666667
TCGA-14-1043-01B-11R-1847-07	AAAS	-0.842
TCGA-14-1043-01B-11R-1847-07	AACS	-1.2542
TCGA-14-1043-01B-11R-1847-07	AADAC	-1.5214
TCGA-14-1043-01B-11R-1847-07	AADACL1	0.3492
TCGA-14-1043-01B-11R-1847-07	AADACL2	-0.2486
TCGA-14-1043-01B-11R-1847-07	AADACL3	0.455666666666667
TCGA-14-1043-01B-11R-1847-07	AADACL4	-1.58366666666667
TCGA-14-1043-01B-11R-1847-07	AADAT	0.000799999999999967
TCGA-14-1043-01B-11R-1847-07	AAK1	0.5883125
TCGA-14-1043-01B-11R-1847-07	AAMP	-0.7728
TCGA-14-1043-01B-11R-1847-07	AANAT	0.193333333333333
TCGA-14-1043-01B-11R-1847-07	AARS	-1.09575
TCGA-14-1043-01B-11R-1847-07	AARS2	-0.173375
TCGA-14-1043-01B-11R-1847-07	AARSD1	-1.0856
TCGA-14-1043-01B-11R-1847-07	AASDH	-0.0331
TCGA-14-1043-01B-11R-1847-07	AASDHPPT	0.0168461538461538
TCGA-14-1043-01B-11R-1847-07	AASS	0.8512
TCGA-14-1043-01B-11R-1847-07	AATF	-0.4481
TCGA-14-1043-01B-11R-1847-07	AATK	1.65415384615385
TCGA-14-1043-01B-11R-1847-07	ABAT	1.345
TCGA-14-1043-01B-11R-1847-07	ABBA-1	0.0192
TCGA-14-1043-01B-11R-1847-07	ABCA1	3.8615
TCGA-14-1043-01B-11R-1847-07	ABCA10	0.4225
TCGA-14-1043-01B-11R-1847-07	ABCA11	0.476333333333333
TCGA-14-1043-01B-11R-1847-07	ABCA12	-3.863
TCGA-14-1043-01B-11R-1847-07	ABCA13	0.586909090909091
TCGA-14-1043-01B-11R-1847-07	ABCA2	1.1988
TCGA-14-1043-01B-11R-1847-07	ABCA3	1.65563636363636
TCGA-14-1043-01B-11R-1847-07	ABCA4	-0.958222222222222
TCGA-14-1043-01B-11R-1847-07	ABCA5	0.1695
TCGA-14-1043-01B-11R-1847-07	ABCA6	4.42484615384615
TCGA-14-1043-01B-11R-1847-07	ABCA7	-2.5414
TCGA-14-1043-01B-11R-1847-07	ABCA8	4.8554
TCGA-14-1043-01B-11R-1847-07	ABCA9	3.51638461538461
TCGA-14-1043-01B-11R-1847-07	ABCB1	1.92154545454545
TCGA-14-1043-01B-11R-1847-07	ABCB10	-1.06225
TCGA-14-1043-01B-11R-1847-07	ABCB11	0.283
TCGA-14-1043-01B-11R-1847-07	ABCB4	0.1132
TCGA-14-1043-01B-11R-1847-07	ABCB5	0.0863333333333333
TCGA-14-1043-01B-11R-1847-07	ABCB6	-0.309076923076923
TCGA-14-1043-01B-11R-1847-07	ABCB7	-0.2248
TCGA-14-1043-01B-11R-1847-07	ABCB8	-1.079875
TCGA-14-1043-01B-11R-1847-07	ABCB9	-0.129875
TCGA-14-1043-01B-11R-1847-07	ABCC1	-2.445625
TCGA-14-1043-01B-11R-1847-07	ABCC10	-1.4508
TCGA-14-1043-01B-11R-1847-07	ABCC11	-0.587625
TCGA-14-1043-01B-11R-1847-07	ABCC12	0.376571428571429
TCGA-14-1043-01B-11R-1847-07	ABCC13	0.0487
TCGA-14-1043-01B-11R-1847-07	ABCC2	-5.25466666666667
TCGA-14-1043-01B-11R-1847-07	ABCC3	1.27454545454545
TCGA-14-1043-01B-11R-1847-07	ABCC4	-0.8360625
TCGA-14-1043-01B-11R-1847-07	ABCC5	-0.267533333333333
TCGA-14-1043-01B-11R-1847-07	ABCC6	-2.00116666666667
TCGA-14-1043-01B-11R-1847-07	ABCC8	2.8596
TCGA-14-1043-01B-11R-1847-07	ABCC9	1.39609090909091
TCGA-14-1043-01B-11R-1847-07	ABCD1	-0.907
TCGA-14-1043-01B-11R-1847-07	ABCD2	2.11216666666667
TCGA-14-1043-01B-11R-1847-07	ABCD3	0.112
TCGA-14-1043-01B-11R-1847-07	ABCD4	1.019625
TCGA-14-1043-01B-11R-1847-07	ABCE1	-0.5026
TCGA-14-1043-01B-11R-1847-07	ABCF1	-0.463076923076923
TCGA-14-1043-01B-11R-1847-07	ABCF2	-0.623363636363636
TCGA-14-1043-01B-11R-1847-07	ABCF3	0.109125
TCGA-14-1043-01B-11R-1847-07	ABCG1	2.34333333333333
TCGA-14-1043-01B-11R-1847-07	ABCG2	1.3682
TCGA-14-1043-01B-11R-1847-07	ABCG4	0.187666666666667
TCGA-14-1043-01B-11R-1847-07	ABCG5	-5.2028
TCGA-14-1043-01B-11R-1847-07	ABCG8	0.274333333333333
TCGA-14-1043-01B-11R-1847-07	ABHD1	0.9844
TCGA-14-1043-01B-11R-1847-07	ABHD10	-0.406333333333333
TCGA-14-1043-01B-11R-1847-07	ABHD11	-0.672538461538462
TCGA-14-1043-01B-11R-1847-07	ABHD12	1.76861538461538
TCGA-14-1043-01B-11R-1847-07	ABHD12B	0.7612
TCGA-14-1043-01B-11R-1847-07	ABHD13	0.341615384615385
TCGA-14-1043-01B-11R-1847-07	ABHD14A	0.2444
TCGA-14-1043-01B-11R-1847-07	ABHD14B	-1.029
TCGA-14-1043-01B-11R-1847-07	ABHD2	0.340821428571429
TCGA-14-1043-01B-11R-1847-07	ABHD3	-0.9426
TCGA-14-1043-01B-11R-1847-07	ABHD4	0.2718
TCGA-14-1043-01B-11R-1847-07	ABHD5	-0.7366
TCGA-14-1043-01B-11R-1847-07	ABHD6	2.0724
TCGA-14-1043-01B-11R-1847-07	ABHD7	-0.0654
TCGA-14-1043-01B-11R-1847-07	ABHD8	-0.7994
TCGA-14-1043-01B-11R-1847-07	ABHD9	0.699666666666667
TCGA-14-1043-01B-11R-1847-07	ABI1	-0.0876249999999999
TCGA-14-1043-01B-11R-1847-07	ABI2	0.255375
TCGA-14-1043-01B-11R-1847-07	ABI3	3.5158
TCGA-14-1043-01B-11R-1847-07	ABI3BP	2.569
TCGA-14-1043-01B-11R-1847-07	ABL1	-0.53644
TCGA-14-1043-01B-11R-1847-07	ABL2	-0.00886666666666668
TCGA-14-1043-01B-11R-1847-07	ABLIM1	0.899125
TCGA-14-1043-01B-11R-1847-07	ABLIM2	1.9658
TCGA-14-1043-01B-11R-1847-07	ABLIM3	-0.188923076923077
TCGA-14-1043-01B-11R-1847-07	ABO	0.00199999999999999
TCGA-14-1043-01B-11R-1847-07	ABP1	-0.198636363636364
TCGA-14-1043-01B-11R-1847-07	ABR	1.8854
TCGA-14-1043-01B-11R-1847-07	ABRA	0.50825
TCGA-14-1043-01B-11R-1847-07	ABT1	-0.652
TCGA-14-1043-01B-11R-1847-07	ABTB1	0.512875
TCGA-14-1043-01B-11R-1847-07	ABTB2	-0.1012
TCGA-14-1043-01B-11R-1847-07	ACAA1	0.839846153846154
TCGA-14-1043-01B-11R-1847-07	ACAA2	-1.16309090909091
TCGA-14-1043-01B-11R-1847-07	ACACA	-1.0005625
TCGA-14-1043-01B-11R-1847-07	ACACB	0.2548
TCGA-14-1043-01B-11R-1847-07	ACAD10	-1.10925
TCGA-14-1043-01B-11R-1847-07	ACAD11	0.270142857142857
TCGA-14-1043-01B-11R-1847-07	ACAD8	1.1984
TCGA-14-1043-01B-11R-1847-07	ACAD9	-0.2738
TCGA-14-1043-01B-11R-1847-07	ACADL	0.000571428571428596
TCGA-14-1043-01B-11R-1847-07	ACADM	-0.328090909090909
TCGA-14-1043-01B-11R-1847-07	ACADS	-0.358571428571429
TCGA-14-1043-01B-11R-1847-07	ACADSB	-1.09795833333333
TCGA-14-1043-01B-11R-1847-07	ACADVL	-0.676
TCGA-14-1043-01B-11R-1847-07	ACAN	2.77216666666667
TCGA-14-1043-01B-11R-1847-07	ACAT1	-0.765833333333333
TCGA-14-1043-01B-11R-1847-07	ACBD3	0.334846153846154
TCGA-14-1043-01B-11R-1847-07	ACBD4	-0.788363636363636
TCGA-14-1043-01B-11R-1847-07	ACBD5	1.1476
TCGA-14-1043-01B-11R-1847-07	ACBD6	-0.358
TCGA-14-1043-01B-11R-1847-07	ACCN1	0.85025
TCGA-14-1043-01B-11R-1847-07	ACCN2	1.3394
TCGA-14-1043-01B-11R-1847-07	ACCN3	-1.76966666666667
TCGA-14-1043-01B-11R-1847-07	ACCN4	1.32675
TCGA-14-1043-01B-11R-1847-07	ACCN5	-0.675333333333333
TCGA-14-1043-01B-11R-1847-07	ACD	-0.828875
TCGA-14-1043-01B-11R-1847-07	ACE	0.178166666666667
TCGA-14-1043-01B-11R-1847-07	ACE2	-2.1776
TCGA-14-1043-01B-11R-1847-07	ACF	-3.0922
TCGA-14-1043-01B-11R-1847-07	ACHE	-0.507125
TCGA-14-1043-01B-11R-1847-07	ACIN1	0.354125
TCGA-14-1043-01B-11R-1847-07	ACLY	0.0789090909090909
TCGA-14-1043-01B-11R-1847-07	ACMSD	-1.7066
TCGA-14-1043-01B-11R-1847-07	ACN9	-1.177
TCGA-14-1043-01B-11R-1847-07	ACO1	-0.976125
TCGA-14-1043-01B-11R-1847-07	ACOT11	0.303894736842105
TCGA-14-1043-01B-11R-1847-07	ACOT12	0.6244
TCGA-14-1043-01B-11R-1847-07	ACOT2	-0.384125
TCGA-14-1043-01B-11R-1847-07	ACOT4	-0.9206
TCGA-14-1043-01B-11R-1847-07	ACOT6	0.8812
TCGA-14-1043-01B-11R-1847-07	ACOT7	-1.42463636363636
TCGA-14-1043-01B-11R-1847-07	ACOT8	0.5642
