barcode	gene symbol	value
TCGA-28-1756-01C-01R-0791-07	15E1.2	-1.625
TCGA-28-1756-01C-01R-0791-07	2'-PDE	-0.154
TCGA-28-1756-01C-01R-0791-07	7A5	-1.92133333333333
TCGA-28-1756-01C-01R-0791-07	A1BG	1.153125
TCGA-28-1756-01C-01R-0791-07	A2BP1	4.131875
TCGA-28-1756-01C-01R-0791-07	A2M	1.4274
TCGA-28-1756-01C-01R-0791-07	A2ML1	2.13266666666667
TCGA-28-1756-01C-01R-0791-07	A3GALT2	0.3382
TCGA-28-1756-01C-01R-0791-07	A4GALT	-1.162125
TCGA-28-1756-01C-01R-0791-07	A4GNT	0.245
TCGA-28-1756-01C-01R-0791-07	AAAS	-1.046
TCGA-28-1756-01C-01R-0791-07	AACS	-0.9806
TCGA-28-1756-01C-01R-0791-07	AADAC	-0.677
TCGA-28-1756-01C-01R-0791-07	AADACL1	0.1692
TCGA-28-1756-01C-01R-0791-07	AADACL2	0.1212
TCGA-28-1756-01C-01R-0791-07	AADACL3	0.107333333333333
TCGA-28-1756-01C-01R-0791-07	AADACL4	-0.457
TCGA-28-1756-01C-01R-0791-07	AADAT	0.2548
TCGA-28-1756-01C-01R-0791-07	AAK1	0.590529411764706
TCGA-28-1756-01C-01R-0791-07	AAMP	-1.046
TCGA-28-1756-01C-01R-0791-07	AANAT	-0.0373333333333333
TCGA-28-1756-01C-01R-0791-07	AARS	-0.919125
TCGA-28-1756-01C-01R-0791-07	AARS2	-0.3655
TCGA-28-1756-01C-01R-0791-07	AARSD1	-0.8056
TCGA-28-1756-01C-01R-0791-07	AASDH	0.859181818181818
TCGA-28-1756-01C-01R-0791-07	AASDHPPT	0.506846153846154
TCGA-28-1756-01C-01R-0791-07	AASS	1.9766
TCGA-28-1756-01C-01R-0791-07	AATF	-1.0322
TCGA-28-1756-01C-01R-0791-07	AATK	1.15330769230769
TCGA-28-1756-01C-01R-0791-07	ABAT	2.08361538461538
TCGA-28-1756-01C-01R-0791-07	ABBA-1	1.08366666666667
TCGA-28-1756-01C-01R-0791-07	ABCA1	1.8255
TCGA-28-1756-01C-01R-0791-07	ABCA10	-0.109
TCGA-28-1756-01C-01R-0791-07	ABCA11	0.856
TCGA-28-1756-01C-01R-0791-07	ABCA12	-3.9052
TCGA-28-1756-01C-01R-0791-07	ABCA13	0.294
TCGA-28-1756-01C-01R-0791-07	ABCA2	0.5276
TCGA-28-1756-01C-01R-0791-07	ABCA3	2.07263636363636
TCGA-28-1756-01C-01R-0791-07	ABCA4	-0.976333333333333
TCGA-28-1756-01C-01R-0791-07	ABCA5	-0.2936
TCGA-28-1756-01C-01R-0791-07	ABCA6	1.577
TCGA-28-1756-01C-01R-0791-07	ABCA7	-2.2688
TCGA-28-1756-01C-01R-0791-07	ABCA8	2.0076
TCGA-28-1756-01C-01R-0791-07	ABCA9	1.56130769230769
TCGA-28-1756-01C-01R-0791-07	ABCB1	2.93790909090909
TCGA-28-1756-01C-01R-0791-07	ABCB10	-0.927416666666667
TCGA-28-1756-01C-01R-0791-07	ABCB11	0.0413333333333333
TCGA-28-1756-01C-01R-0791-07	ABCB4	-0.6392
TCGA-28-1756-01C-01R-0791-07	ABCB5	0.106
TCGA-28-1756-01C-01R-0791-07	ABCB6	-0.421384615384615
TCGA-28-1756-01C-01R-0791-07	ABCB7	-0.5058
TCGA-28-1756-01C-01R-0791-07	ABCB8	-1.027625
TCGA-28-1756-01C-01R-0791-07	ABCB9	-0.42275
TCGA-28-1756-01C-01R-0791-07	ABCC1	-2.8105
TCGA-28-1756-01C-01R-0791-07	ABCC10	-0.8952
TCGA-28-1756-01C-01R-0791-07	ABCC11	0.7195
TCGA-28-1756-01C-01R-0791-07	ABCC12	1.2905
TCGA-28-1756-01C-01R-0791-07	ABCC13	0.264
TCGA-28-1756-01C-01R-0791-07	ABCC2	-4.43577777777778
TCGA-28-1756-01C-01R-0791-07	ABCC3	-2.77218181818182
TCGA-28-1756-01C-01R-0791-07	ABCC4	-1.024375
TCGA-28-1756-01C-01R-0791-07	ABCC5	0.779933333333333
TCGA-28-1756-01C-01R-0791-07	ABCC6	-1.64355555555556
TCGA-28-1756-01C-01R-0791-07	ABCC8	3.5954
TCGA-28-1756-01C-01R-0791-07	ABCC9	1.37081818181818
TCGA-28-1756-01C-01R-0791-07	ABCD1	-1.16
TCGA-28-1756-01C-01R-0791-07	ABCD2	0.943833333333333
TCGA-28-1756-01C-01R-0791-07	ABCD3	0.339142857142857
TCGA-28-1756-01C-01R-0791-07	ABCD4	1.04375
TCGA-28-1756-01C-01R-0791-07	ABCE1	-0.4422
TCGA-28-1756-01C-01R-0791-07	ABCF1	-0.357615384615385
TCGA-28-1756-01C-01R-0791-07	ABCF2	-1.02945454545455
TCGA-28-1756-01C-01R-0791-07	ABCF3	-0.86375
TCGA-28-1756-01C-01R-0791-07	ABCG1	1.32533333333333
TCGA-28-1756-01C-01R-0791-07	ABCG2	2.508
TCGA-28-1756-01C-01R-0791-07	ABCG4	1.3015
TCGA-28-1756-01C-01R-0791-07	ABCG5	-3.6754
TCGA-28-1756-01C-01R-0791-07	ABCG8	-0.378666666666667
TCGA-28-1756-01C-01R-0791-07	ABHD1	0.0982
TCGA-28-1756-01C-01R-0791-07	ABHD10	0.454846153846154
TCGA-28-1756-01C-01R-0791-07	ABHD11	-1.35615384615385
TCGA-28-1756-01C-01R-0791-07	ABHD12	0.158461538461538
TCGA-28-1756-01C-01R-0791-07	ABHD12B	0.0382
TCGA-28-1756-01C-01R-0791-07	ABHD13	1.02976923076923
TCGA-28-1756-01C-01R-0791-07	ABHD14A	0.2298
TCGA-28-1756-01C-01R-0791-07	ABHD14B	-1.626
TCGA-28-1756-01C-01R-0791-07	ABHD2	-0.697107142857143
TCGA-28-1756-01C-01R-0791-07	ABHD3	-1.9268
TCGA-28-1756-01C-01R-0791-07	ABHD4	0.2542
TCGA-28-1756-01C-01R-0791-07	ABHD5	-1.2172
TCGA-28-1756-01C-01R-0791-07	ABHD6	2.4828
TCGA-28-1756-01C-01R-0791-07	ABHD7	1.9534
TCGA-28-1756-01C-01R-0791-07	ABHD8	-0.4778
TCGA-28-1756-01C-01R-0791-07	ABHD9	0.0216666666666667
TCGA-28-1756-01C-01R-0791-07	ABI1	0.819
TCGA-28-1756-01C-01R-0791-07	ABI2	0.130625
TCGA-28-1756-01C-01R-0791-07	ABI3	2.525
TCGA-28-1756-01C-01R-0791-07	ABI3BP	0.6072
TCGA-28-1756-01C-01R-0791-07	ABL1	-0.43128
TCGA-28-1756-01C-01R-0791-07	ABL2	-0.177466666666667
TCGA-28-1756-01C-01R-0791-07	ABLIM1	1.050625
TCGA-28-1756-01C-01R-0791-07	ABLIM2	3.1496
TCGA-28-1756-01C-01R-0791-07	ABLIM3	0.122769230769231
TCGA-28-1756-01C-01R-0791-07	ABO	-0.076125
TCGA-28-1756-01C-01R-0791-07	ABP1	0.0347272727272727
TCGA-28-1756-01C-01R-0791-07	ABR	1.9296
TCGA-28-1756-01C-01R-0791-07	ABRA	0.0442
TCGA-28-1756-01C-01R-0791-07	ABT1	0.2732
TCGA-28-1756-01C-01R-0791-07	ABTB1	-0.3885
TCGA-28-1756-01C-01R-0791-07	ABTB2	-0.801
TCGA-28-1756-01C-01R-0791-07	ACAA1	0.223230769230769
TCGA-28-1756-01C-01R-0791-07	ACAA2	-1.398
TCGA-28-1756-01C-01R-0791-07	ACACA	-0.5380625
TCGA-28-1756-01C-01R-0791-07	ACACB	-0.709
TCGA-28-1756-01C-01R-0791-07	ACAD10	-0.8524375
TCGA-28-1756-01C-01R-0791-07	ACAD11	0.108928571428571
TCGA-28-1756-01C-01R-0791-07	ACAD8	1.4058
TCGA-28-1756-01C-01R-0791-07	ACAD9	-0.844
TCGA-28-1756-01C-01R-0791-07	ACADL	0.15575
TCGA-28-1756-01C-01R-0791-07	ACADM	-0.524909090909091
TCGA-28-1756-01C-01R-0791-07	ACADS	-1.88878571428571
TCGA-28-1756-01C-01R-0791-07	ACADSB	-0.113
TCGA-28-1756-01C-01R-0791-07	ACADVL	-1.41525
TCGA-28-1756-01C-01R-0791-07	ACAN	0.363333333333333
TCGA-28-1756-01C-01R-0791-07	ACAT1	-0.770166666666667
TCGA-28-1756-01C-01R-0791-07	ACBD3	0.540307692307692
TCGA-28-1756-01C-01R-0791-07	ACBD4	-0.00618181818181819
TCGA-28-1756-01C-01R-0791-07	ACBD5	1.2614
TCGA-28-1756-01C-01R-0791-07	ACBD6	-0.2528
TCGA-28-1756-01C-01R-0791-07	ACCN1	1.789
TCGA-28-1756-01C-01R-0791-07	ACCN2	2.733
TCGA-28-1756-01C-01R-0791-07	ACCN3	0.108666666666667
TCGA-28-1756-01C-01R-0791-07	ACCN4	-0.019625
TCGA-28-1756-01C-01R-0791-07	ACCN5	-0.318666666666667
TCGA-28-1756-01C-01R-0791-07	ACD	-0.750125
TCGA-28-1756-01C-01R-0791-07	ACE	-0.132166666666667
TCGA-28-1756-01C-01R-0791-07	ACE2	-0.2604
TCGA-28-1756-01C-01R-0791-07	ACF	-3.93
TCGA-28-1756-01C-01R-0791-07	ACHE	-0.145375
TCGA-28-1756-01C-01R-0791-07	ACIN1	-0.053875
TCGA-28-1756-01C-01R-0791-07	ACLY	-0.644818181818182
TCGA-28-1756-01C-01R-0791-07	ACMSD	-0.9378
TCGA-28-1756-01C-01R-0791-07	ACN9	0.0554
TCGA-28-1756-01C-01R-0791-07	ACO1	-1.124625
TCGA-28-1756-01C-01R-0791-07	ACOT11	-0.337684210526316
TCGA-28-1756-01C-01R-0791-07	ACOT12	0.3204
TCGA-28-1756-01C-01R-0791-07	ACOT2	-1.1225
TCGA-28-1756-01C-01R-0791-07	ACOT4	-0.6562
TCGA-28-1756-01C-01R-0791-07	ACOT6	0.4552
TCGA-28-1756-01C-01R-0791-07	ACOT7	-1.02118181818182
TCGA-28-1756-01C-01R-0791-07	ACOT8	0.4724
TCGA-28-1756-01C-01R-0791-07	ACOT9	-1.074625
TCGA-28-1756-01C-01R-0791-07	ACOX1	0.537357142857143
TCGA-28-1756-01C-01R-0791-07	ACOX2	-0.82175
TCGA-28-1756-01C-01R-0791-07	ACOX3	0.868818181818182
TCGA-28-1756-01C-01R-0791-07	ACP1	-0.763625
TCGA-28-1756-01C-01R-0791-07	ACP2	-1.414
TCGA-28-1756-01C-01R-0791-07	ACP5	-2.158125
TCGA-28-1756-01C-01R-0791-07	ACP6	-1.819
TCGA-28-1756-01C-01R-0791-07	ACPL2	1.605
TCGA-28-1756-01C-01R-0791-07	ACPP	-0.767692307692308
TCGA-28-1756-01C-01R-0791-07	ACPT	0.212875
TCGA-28-1756-01C-01R-0791-07	ACR	1.147
TCGA-28-1756-01C-01R-0791-07	ACRBP	-1.555
TCGA-28-1756-01C-01R-0791-07	ACRC	1.951
TCGA-28-1756-01C-01R-0791-07	ACRV1	0.7815
TCGA-28-1756-01C-01R-0791-07	ACSBG1	4.2764
TCGA-28-1756-01C-01R-0791-07	ACSBG2	0.3244
TCGA-28-1756-01C-01R-0791-07	ACSL1	-0.4112
TCGA-28-1756-01C-01R-0791-07	ACSL3	-0.3684
TCGA-28-1756-01C-01R-0791-07	ACSL4	-1.4208
TCGA-28-1756-01C-01R-0791-07	ACSL5	-0.855375
TCGA-28-1756-01C-01R-0791-07	ACSL6	2.73918181818182
TCGA-28-1756-01C-01R-0791-07	ACSM1	-1.671
TCGA-28-1756-01C-01R-0791-07	ACSM2A	-1.5184
TCGA-28-1756-01C-01R-0791-07	ACSM2B	-2.5148
TCGA-28-1756-01C-01R-0791-07	ACSM3	-5.28533333333333
TCGA-28-1756-01C-01R-0791-07	ACSS1	0.2442
TCGA-28-1756-01C-01R-0791-07	ACSS2	-1.010375
TCGA-28-1756-01C-01R-0791-07	ACTA1	-1.445625
TCGA-28-1756-01C-01R-0791-07	ACTA2	1.34175
TCGA-28-1756-01C-01R-0791-07	ACTB	-0.0837142857142857
TCGA-28-1756-01C-01R-0791-07	ACTBL1	-1.9356
TCGA-28-1756-01C-01R-0791-07	ACTC1	-0.912153846153846
TCGA-28-1756-01C-01R-0791-07	ACTG1	-0.411571428571429
TCGA-28-1756-01C-01R-0791-07	ACTG2	-1.45384615384615
TCGA-28-1756-01C-01R-0791-07	ACTL6A	-0.2975
TCGA-28-1756-01C-01R-0791-07	ACTL6B	2.526625
TCGA-28-1756-01C-01R-0791-07	ACTL7A	-0.0404
TCGA-28-1756-01C-01R-0791-07	ACTL7B	0.0846
TCGA-28-1756-01C-01R-0791-07	ACTL8	-3.930125
TCGA-28-1756-01C-01R-0791-07	ACTN1	-1.08153846153846
TCGA-28-1756-01C-01R-0791-07	ACTN2	5.5606
TCGA-28-1756-01C-01R-0791-07	ACTN3	-0.939333333333333
TCGA-28-1756-01C-01R-0791-07	ACTN4	-1.52266666666667
TCGA-28-1756-01C-01R-0791-07	ACTR10	0.49125
TCGA-28-1756-01C-01R-0791-07	ACTR1A	0.844555555555556
TCGA-28-1756-01C-01R-0791-07	ACTR1B	-0.979
TCGA-28-1756-01C-01R-0791-07	ACTR2	-0.443923076923077
TCGA-28-1756-01C-01R-0791-07	ACTR3	-1.0672
TCGA-28-1756-01C-01R-0791-07	ACTR3B	0.2091
TCGA-28-1756-01C-01R-0791-07	ACTR5	-0.497
TCGA-28-1756-01C-01R-0791-07	ACTR6	1.0726
TCGA-28-1756-01C-01R-0791-07	ACTR8	0.3344
TCGA-28-1756-01C-01R-0791-07	ACTRT1	-0.429
TCGA-28-1756-01C-01R-0791-07	ACTRT2	-0.0405
TCGA-28-1756-01C-01R-0791-07	ACVR1	0.90675
TCGA-28-1756-01C-01R-0791-07	ACVR1B	0.42725
TCGA-28-1756-01C-01R-0791-07	ACVR1C	1.927625
TCGA-28-1756-01C-01R-0791-07	ACVR2A	0.27625
TCGA-28-1756-01C-01R-0791-07	ACVR2B	0.306222222222222
TCGA-28-1756-01C-01R-0791-07	ACVRL1	1.91107692307692
TCGA-28-1756-01C-01R-0791-07	ACY1	-1.6152
TCGA-28-1756-01C-01R-0791-07	ACY1L2	1.01033333333333
TCGA-28-1756-01C-01R-0791-07	ACY3	-0.2744
TCGA-28-1756-01C-01R-0791-07	ACYP1	0.3372
TCGA-28-1756-01C-01R-0791-07	ACYP2	2.374
TCGA-28-1756-01C-01R-0791-07	ADA	-3.5714
TCGA-28-1756-01C-01R-0791-07	ADAD1	0.3398
TCGA-28-1756-01C-01R-0791-07	ADAD2	1.8858
TCGA-28-1756-01C-01R-0791-07	ADAL	0.2644
TCGA-28-1756-01C-01R-0791-07	ADAM10	-1.4652
TCGA-28-1756-01C-01R-0791-07	ADAM11	1.07975
TCGA-28-1756-01C-01R-0791-07	ADAM12	-2.65175
TCGA-28-1756-01C-01R-0791-07	ADAM15	-1.911125
TCGA-28-1756-01C-01R-0791-07	ADAM17	0.4972
TCGA-28-1756-01C-01R-0791-07	ADAM18	-0.101
TCGA-28-1756-01C-01R-0791-07	ADAM19	-0.393384615384615
TCGA-28-1756-01C-01R-0791-07	ADAM2	-1.363
TCGA-28-1756-01C-01R-0791-07	ADAM20	1.4326
TCGA-28-1756-01C-01R-0791-07	ADAM21	0.575333333333333
TCGA-28-1756-01C-01R-0791-07	ADAM22	1.34827272727273
TCGA-28-1756-01C-01R-0791-07	ADAM23	-0.739666666666667
TCGA-28-1756-01C-01R-0791-07	ADAM28	2.58616666666667
TCGA-28-1756-01C-01R-0791-07	ADAM29	0.1346
TCGA-28-1756-01C-01R-0791-07	ADAM30	-0.024
TCGA-28-1756-01C-01R-0791-07	ADAM32	1.30266666666667
TCGA-28-1756-01C-01R-0791-07	ADAM33	-0.286333333333333
TCGA-28-1756-01C-01R-0791-07	ADAM5P	0.00333333333333331
TCGA-28-1756-01C-01R-0791-07	ADAM7	0.485666666666667
TCGA-28-1756-01C-01R-0791-07	ADAM8	0.845363636363636
TCGA-28-1756-01C-01R-0791-07	ADAM9	-0.3225625
TCGA-28-1756-01C-01R-0791-07	ADAMDEC1	5.6784
TCGA-28-1756-01C-01R-0791-07	ADAMTS1	-2.459
TCGA-28-1756-01C-01R-0791-07	ADAMTS10	0.368375
TCGA-28-1756-01C-01R-0791-07	ADAMTS12	-0.504125
TCGA-28-1756-01C-01R-0791-07	ADAMTS13	-0.0204545454545455
TCGA-28-1756-01C-01R-0791-07	ADAMTS14	-0.7917
TCGA-28-1756-01C-01R-0791-07	ADAMTS15	-0.082
TCGA-28-1756-01C-01R-0791-07	ADAMTS16	0.193181818181818
TCGA-28-1756-01C-01R-0791-07	ADAMTS17	0.067
TCGA-28-1756-01C-01R-0791-07	ADAMTS18	-0.281
TCGA-28-1756-01C-01R-0791-07	ADAMTS19	1.927
TCGA-28-1756-01C-01R-0791-07	ADAMTS2	-0.705733333333333
TCGA-28-1756-01C-01R-0791-07	ADAMTS20	0.159666666666667
TCGA-28-1756-01C-01R-0791-07	ADAMTS3	-0.734769230769231
TCGA-28-1756-01C-01R-0791-07	ADAMTS4	0.518444444444444
TCGA-28-1756-01C-01R-0791-07	ADAMTS5	1.8616
TCGA-28-1756-01C-01R-0791-07	ADAMTS6	1.198125
TCGA-28-1756-01C-01R-0791-07	ADAMTS7	0.184461538461539
TCGA-28-1756-01C-01R-0791-07	ADAMTS8	1.441
TCGA-28-1756-01C-01R-0791-07	ADAMTS9	0.651769230769231
TCGA-28-1756-01C-01R-0791-07	ADAMTSL1	-1.22072222222222
TCGA-28-1756-01C-01R-0791-07	ADAMTSL2	1.126875
TCGA-28-1756-01C-01R-0791-07	ADAMTSL3	1.02107692307692
TCGA-28-1756-01C-01R-0791-07	ADAMTSL4	-3.4315
TCGA-28-1756-01C-01R-0791-07	ADAMTSL5	-1.42657142857143
TCGA-28-1756-01C-01R-0791-07	ADAR	-0.4232
TCGA-28-1756-01C-01R-0791-07	ADARB1	-0.9144
TCGA-28-1756-01C-01R-0791-07	ADARB2	3.23328571428571
TCGA-28-1756-01C-01R-0791-07	ADAT1	-0.974461538461538
TCGA-28-1756-01C-01R-0791-07	ADAT2	-0.821
TCGA-28-1756-01C-01R-0791-07	ADAT3	-0.0475
TCGA-28-1756-01C-01R-0791-07	ADC	1.53775
TCGA-28-1756-01C-01R-0791-07	ADCK1	-0.641
