bcr_sample_barcode	bcr_aliquot_barcode	amount	biospecimen_barcode_bottom	concentration	day_of_shipment	month_of_shipment	plate_column	plate_row	year_of_shipment
TCGA-02-0001-01C	TCGA-02-0001-01C-01T-0179-07	20 uL	null	0.100 ug/uL	4	4	1	B	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01R-0181-02	6 uL	null	0.503 ug/uL	4	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01R-0676-04	4 uL	null	0.503 ug/uL	29	10	1	A	2009
TCGA-02-0001-01C	TCGA-02-0001-01C-01R-0177-01	10 uL	null	0.503 ug/uL	4	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01R-0437-07	6.67 uL	null	0.503 ug/uL	28	1	1	A	2009
TCGA-02-0001-01C	TCGA-02-0001-01C-01R-0179-07	4 uL	null	0.503 ug/uL	4	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01R-0178-03	10 uL	null	0.503 ug/uL	4	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01D-0183-04	10 uL	null	0.565 ug/uL	4	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01D-0185-02	20 uL	null	0.565 ug/uL	4	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01D-0209-02	10 uL	null	0.565 ug/uL	19	6	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01D-0182-01	4 uL	null	0.565 ug/uL	4	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01D-0888-01	2 uL	null	0.565 ug/uL	8	4	1	A	2010
TCGA-02-0001-01C	TCGA-02-0001-01C-01D-0186-05	10 uL	null	0.565 ug/uL	4	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01D-0433-07	6.67 uL	null	0.565 ug/uL	28	1	1	A	2009
TCGA-02-0001-01C	TCGA-02-0001-01C-01D-0184-06	6 uL	null	0.565 ug/uL	4	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01W-0188-10	400 uL	null	.5 ug/uL	19	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01W-0190-09	400 uL	null	.5 ug/uL	18	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01W-0189-08	400 uL	null	.5 ug/uL	18	4	1	A	2007
TCGA-02-0001-01C	TCGA-02-0001-01C-01D-1490-08	40 uL	null	0.05 ug/uL	4	1	1	A	2011
TCGA-02-0001-10A	TCGA-02-0001-10A-01D-0182-01	2 uL	null	0.158 ug/uL	4	4	1	B	2007
TCGA-02-0001-10A	TCGA-02-0001-10A-01D-0184-06	6 uL	null	0.158 ug/uL	4	4	1	B	2007
TCGA-02-0001-10A	TCGA-02-0001-10A-01D-1490-08	40 uL	null	0.05 ug/uL	4	1	6	C	2011
TCGA-02-0001-10A	TCGA-02-0001-10A-01W-0189-08	400 uL	null	.5 ug/uL	18	4	3	C	2007
TCGA-02-0001-10A	TCGA-02-0001-10A-01W-0190-09	400 uL	null	.5 ug/uL	18	4	3	C	2007
TCGA-02-0001-10A	TCGA-02-0001-10A-01W-0188-10	400 uL	null	.5 ug/uL	19	4	3	C	2007
TCGA-02-0003-01A	TCGA-02-0003-01A-01W-0190-09	400 uL	null	.5 ug/uL	18	4	3	A	2007
