bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	aliquots	amount	analyte_type	concentration	gel_image_file	spectrophotometer_method	well_number
TCGA-02-0001-01C	TCGA-02-0001-01C-01T	null	null	101 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0001-01C	TCGA-02-0001-01C-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0001-01C	TCGA-02-0001-01C-01R	1.82	null	89.33 uL	RNA	0.503 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0001-01C	TCGA-02-0001-01C-01D	1.87	null	11.029999999999998 uL	DNA	0.565 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0001-01C	TCGA-02-0001-01C-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0001-10A	TCGA-02-0001-10A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0001-10A	TCGA-02-0001-10A-01D	1.89	null	0 uL	DNA	0.158 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0001-10A	TCGA-02-0001-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0003-01A	TCGA-02-0003-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0003-01A	TCGA-02-0003-01A-01T	null	null	15 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0003-01A	TCGA-02-0003-01A-01R	1.83	null	31 uL	RNA	0.527 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0003-01A	TCGA-02-0003-01A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0003-01A	TCGA-02-0003-01A-01D	1.90	null	15.029999999999998 uL	DNA	0.480 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0003-10A	TCGA-02-0003-10A-01D	1.90	null	0 uL	DNA	0.394 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0003-10A	TCGA-02-0003-10A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0003-10A	TCGA-02-0003-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0004-01A	TCGA-02-0004-01A-01R	1.80	null	198 uL	RNA	0.129 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0004-01A	TCGA-02-0004-01A-01D	1.90	null	14 uL	DNA	0.480 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0004-01A	TCGA-02-0004-01A-01T	null	null	9 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0004-01A	TCGA-02-0004-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0004-01A	TCGA-02-0004-01A-01G	1.9	null	146.7 uL	GenomePlex (Rubicon) Amplified DNA	.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0004-10A	TCGA-02-0004-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0004-10A	TCGA-02-0004-10A-01D	1.70	null	29 uL	DNA	0.010 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0004-10A	TCGA-02-0004-10A-01G	1.8	null	146.7 uL	GenomePlex (Rubicon) Amplified DNA	0.09 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0006-01B	TCGA-02-0006-01B-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0006-01B	TCGA-02-0006-01B-01R	1.83	null	17 uL	RNA	0.529 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0006-01B	TCGA-02-0006-01B-01D	1.91	null	60.7 uL	DNA	.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0006-01B	TCGA-02-0006-01B-01T	null	null	20 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0006-01B	TCGA-02-0006-01B-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0006-10A	TCGA-02-0006-10A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0006-10A	TCGA-02-0006-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0006-10A	TCGA-02-0006-10A-01D	1.89	null	0 uL	DNA	0.135 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0007-01A	TCGA-02-0007-01A-01D	1.91	null	29.7 uL	DNA	0.487 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0007-01A	TCGA-02-0007-01A-01R	1.83	null	26 uL	RNA	0.469 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0007-01A	TCGA-02-0007-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0007-01A	TCGA-02-0007-01A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0007-01A	TCGA-02-0007-01A-01T	null	null	31 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0007-10A	TCGA-02-0007-10A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0007-10A	TCGA-02-0007-10A-01D	1.90	null	0 uL	DNA	0.366 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0007-10A	TCGA-02-0007-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0009-01A	TCGA-02-0009-01A-01D	1.92	null	37.7 uL	DNA	0.531 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0009-01A	TCGA-02-0009-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0009-01A	TCGA-02-0009-01A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0009-01A	TCGA-02-0009-01A-01R	1.85	null	47 uL	RNA	0.479 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0009-01A	TCGA-02-0009-01A-01T	null	null	46 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0009-10A	TCGA-02-0009-10A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0009-10A	TCGA-02-0009-10A-01D	1.90	null	0 uL	DNA	0.171 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0009-10A	TCGA-02-0009-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0010-01A	TCGA-02-0010-01A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0010-01A	TCGA-02-0010-01A-01T	null	null	59 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0010-01A	TCGA-02-0010-01A-01R	1.85	null	40 uL	RNA	0.543 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0010-01A	TCGA-02-0010-01A-01D	1.93	null	77 uL	DNA	0.446 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0010-01A	TCGA-02-0010-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0010-10A	TCGA-02-0010-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0010-10A	TCGA-02-0010-10A-01D	1.88	null	0 uL	DNA	0.144 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0011-01B	TCGA-02-0011-01B-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0011-01B	TCGA-02-0011-01B-01D	1.88	null	45 uL	DNA	0.525 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0011-01B	TCGA-02-0011-01B-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0011-01B	TCGA-02-0011-01B-01R	1.80	null	12 uL	RNA	0.512 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0011-01B	TCGA-02-0011-01B-01T	null	null	28 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0011-10A	TCGA-02-0011-10A-01D	1.87	null	0 uL	DNA	0.095 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0011-10A	TCGA-02-0011-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0014-01A	TCGA-02-0014-01A-01D	1.85	null	8 uL	DNA	0.516 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0014-01A	TCGA-02-0014-01A-01T	null	null	4 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0014-01A	TCGA-02-0014-01A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0014-01A	TCGA-02-0014-01A-01R	1.80	null	4 uL	RNA	0.400 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0014-01A	TCGA-02-0014-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0014-10A	TCGA-02-0014-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0014-10A	TCGA-02-0014-10A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0014-10A	TCGA-02-0014-10A-01D	1.90	null	0 uL	DNA	0.324 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0015-01A	TCGA-02-0015-01A-01D	1.88	null	42 uL	DNA	0.520 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0015-01A	TCGA-02-0015-01A-01T	null	null	10 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0015-01A	TCGA-02-0015-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0015-01A	TCGA-02-0015-01A-01R	1.80	null	83 uL	RNA	0.186 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0015-01A	TCGA-02-0015-01A-01G	1.9	null	2 uL	GenomePlex (Rubicon) Amplified DNA	.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0015-10A	TCGA-02-0015-10A-01G	1.9	null	40 uL	GenomePlex (Rubicon) Amplified DNA	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0015-10A	TCGA-02-0015-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0015-10A	TCGA-02-0015-10A-01D	1.80	null	0 uL	DNA	0.050 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0016-01A	TCGA-02-0016-01A-01T	null	null	10 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0016-01A	TCGA-02-0016-01A-01D	1.89	null	29 uL	DNA	0.520 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0016-01A	TCGA-02-0016-01A-01R	1.80	null	193 uL	RNA	0.166 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0016-01A	TCGA-02-0016-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0016-01A	TCGA-02-0016-01A-01G	1.9	null	40 uL	GenomePlex (Rubicon) Amplified DNA	.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0016-10A	TCGA-02-0016-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0016-10A	TCGA-02-0016-10A-01G	1.9	null	40 uL	GenomePlex (Rubicon) Amplified DNA	0.19 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0016-10A	TCGA-02-0016-10A-01D	1.90	null	0 uL	DNA	0.070 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0021-01A	TCGA-02-0021-01A-01T	null	null	8 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0021-01A	TCGA-02-0021-01A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0021-01A	TCGA-02-0021-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0021-01A	TCGA-02-0021-01A-01R	1.82	null	18 uL	RNA	0.504 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0021-01A	TCGA-02-0021-01A-01D	1.92	null	20 uL	DNA	0.544 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0021-10A	TCGA-02-0021-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0021-10A	TCGA-02-0021-10A-01D	1.89	null	0 uL	DNA	0.120 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0023-01B	TCGA-02-0023-01B-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0023-01B	TCGA-02-0023-01B-01G	1.9	null	40 uL	GenomePlex (Rubicon) Amplified DNA	.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0023-01B	TCGA-02-0023-01B-01R	1.80	null	62 uL	RNA	0.167 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0023-01B	TCGA-02-0023-01B-01T	null	null	10 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0023-01B	TCGA-02-0023-01B-01D	1.89	null	3 uL	DNA	0.460 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0023-10A	TCGA-02-0023-10A-01G	1.8	null	40 uL	GenomePlex (Rubicon) Amplified DNA	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0023-10A	TCGA-02-0023-10A-01D	1.90	null	0 uL	DNA	0.040 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0023-10A	TCGA-02-0023-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0024-01B	TCGA-02-0024-01B-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0024-01B	TCGA-02-0024-01B-01T	null	null	0 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0024-01B	TCGA-02-0024-01B-01D	1.92	null	0 uL	DNA	0.532 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0024-01B	TCGA-02-0024-01B-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0024-01B	TCGA-02-0024-01B-01R	1.83	null	13 uL	RNA	0.492 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0024-10A	TCGA-02-0024-10A-01D	1.88	null	0 uL	DNA	0.145 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0024-10A	TCGA-02-0024-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0024-10A	TCGA-02-0024-10A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0025-01A	TCGA-02-0025-01A-01T	null	null	9 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0025-01A	TCGA-02-0025-01A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0025-01A	TCGA-02-0025-01A-01G	1.9	null	2 uL	GenomePlex (Rubicon) Amplified DNA	.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0025-01A	TCGA-02-0025-01A-01D	1.90	null	3.3299999999999983 uL	DNA	0.500 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0025-01A	TCGA-02-0025-01A-01R	1.80	null	39 uL	RNA	0.168 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0025-10A	TCGA-02-0025-10A-01D	1.90	null	0 uL	DNA	0.090 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0025-10A	TCGA-02-0025-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0025-10A	TCGA-02-0025-10A-01G	1.8	null	40 uL	GenomePlex (Rubicon) Amplified DNA	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0026-01B	TCGA-02-0026-01B-01D	1.87	null	0 uL	DNA	0.520 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0026-01B	TCGA-02-0026-01B-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0026-01B	TCGA-02-0026-01B-01G	1.9	null	40 uL	GenomePlex (Rubicon) Amplified DNA	.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0026-01B	TCGA-02-0026-01B-01T	null	null	10 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0026-01B	TCGA-02-0026-01B-01R	1.80	null	132 uL	RNA	0.163 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0026-10A	TCGA-02-0026-10A-01W	null	null	0 uL	Repli-G (Qiagen) DNA	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0026-10A	TCGA-02-0026-10A-01D	1.90	null	0 uL	DNA	0.070 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0026-10A	TCGA-02-0026-10A-01G	1.9	null	40 uL	GenomePlex (Rubicon) Amplified DNA	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
TCGA-02-0027-01A	TCGA-02-0027-01A-01G	null	null	125 uL	GenomePlex (Rubicon) Amplified DNA	null	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null
TCGA-02-0027-01A	TCGA-02-0027-01A-01T	null	null	67 uL	Total RNA	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	UV Spec	null
