bcr_sample_barcode	bcr_aliquot_barcode	amount	biospecimen_barcode_bottom	concentration	day_of_shipment	month_of_shipment	plate_column	plate_row	year_of_shipment
TCGA-06-0673-11A	TCGA-06-0673-11A-01T-0345-07	10 uL	null	0.100 ug/uL	7	5	1	A	2008
TCGA-06-0673-11A	TCGA-06-0673-11A-01R-0343-03	14.7 uL	null	0.160 ug/uL	7	5	1	A	2008
TCGA-06-0673-11A	TCGA-06-0673-11A-01R-0342-01	17.6 uL	null	0.160 ug/uL	7	5	1	A	2008
TCGA-06-0673-11A	TCGA-06-0673-11A-01R-0344-07	11.8 uL	null	0.160 ug/uL	7	5	1	A	2008
TCGA-06-0675-11A	TCGA-06-0675-11A-01R-0343-03	14.7 uL	null	0.160 ug/uL	7	5	1	B	2008
TCGA-06-0675-11A	TCGA-06-0675-11A-01R-0342-01	17.6 uL	null	0.160 ug/uL	7	5	1	B	2008
TCGA-06-0675-11A	TCGA-06-0675-11A-01R-0344-07	11.8 uL	null	0.160 ug/uL	7	5	1	B	2008
TCGA-06-0675-11A	TCGA-06-0675-11A-01T-0345-07	10 uL	null	0.100 ug/uL	7	5	1	B	2008
TCGA-06-0676-11A	TCGA-06-0676-11A-02R-0343-03	14.7 uL	null	0.174 ug/uL	7	5	1	C	2008
TCGA-06-0676-11A	TCGA-06-0676-11A-02R-0342-01	17.6 uL	null	0.174 ug/uL	7	5	1	C	2008
TCGA-06-0676-11A	TCGA-06-0676-11A-02R-0344-07	11.8 uL	null	0.174 ug/uL	7	5	1	C	2008
TCGA-06-0676-11A	TCGA-06-0676-11A-02T-0345-07	10 uL	null	0.100 ug/uL	7	5	1	C	2008
TCGA-06-0678-11A	TCGA-06-0678-11A-01D-0433-07	6.67 uL	null	.172 ug/uL	28	1	3	C	2009
TCGA-06-0678-11A	TCGA-06-0678-11A-01R-0342-01	17.6 uL	null	0.174 ug/uL	7	5	1	D	2008
TCGA-06-0678-11A	TCGA-06-0678-11A-01R-0343-03	14.7 uL	null	0.174 ug/uL	7	5	1	D	2008
TCGA-06-0678-11A	TCGA-06-0678-11A-01R-0437-07	6.67 uL	null	0.174 ug/uL	28	1	2	C	2009
TCGA-06-0678-11A	TCGA-06-0678-11A-01R-0344-07	11.8 uL	null	0.174 ug/uL	7	5	1	D	2008
TCGA-06-0678-11A	TCGA-06-0678-11A-01T-0345-07	10 uL	null	0.100 ug/uL	7	5	1	D	2008
TCGA-06-0680-11A	TCGA-06-0680-11A-01T-0345-07	10 uL	null	0.100 ug/uL	7	5	1	E	2008
TCGA-06-0680-11A	TCGA-06-0680-11A-01R-0342-01	17.6 uL	null	0.160 ug/uL	7	5	1	E	2008
TCGA-06-0680-11A	TCGA-06-0680-11A-01R-0343-03	14.7 uL	null	0.160 ug/uL	7	5	1	E	2008
TCGA-06-0680-11A	TCGA-06-0680-11A-01R-0344-07	11.8 uL	null	0.160 ug/uL	7	5	1	E	2008
TCGA-06-0681-11A	TCGA-06-0681-11A-01R-0344-07	11.8 uL	null	0.160 ug/uL	7	5	1	F	2008
TCGA-06-0681-11A	TCGA-06-0681-11A-01R-0343-03	14.7 uL	null	0.160 ug/uL	7	5	1	F	2008
TCGA-06-0681-11A	TCGA-06-0681-11A-01R-0342-01	17.6 uL	null	0.160 ug/uL	7	5	1	F	2008
TCGA-06-0681-11A	TCGA-06-0681-11A-01D-0433-07	6.67 uL	null	.113 ug/uL	28	1	3	D	2009
TCGA-06-0681-11A	TCGA-06-0681-11A-01T-0345-07	10 uL	null	0.100 ug/uL	7	5	1	F	2008
TCGA-08-0623-11A	TCGA-08-0623-11A-01T-0345-07	10 uL	null	0.100 ug/uL	7	5	1	G	2008
