Hybridization REF	TCGA-06-0680-11A-01T-0345-07
Reporter REF	Quantile_Normalized
A_25_P00010003	10.2287791894809
A_25_P00010004	8.1584757991616
A_25_P00010005	9.50318899182342
A_25_P00010006	7.25393114585681
A_25_P00010007	6.00994225173157
A_25_P00010008	6.4773905294214
A_25_P00010009	6.43768782648516
A_25_P00010010	5.66807206423338
A_25_P00010011	5.69253266681108
A_25_P00010012	7.46941249293561
A_25_P00010013	6.44053093454763
A_25_P00010014	12.0611771864125
A_25_P00010015	9.4133159602155
A_25_P00010016	5.70293208728954
A_25_P00010017	7.16715429194892
A_25_P00010018	6.31778744902173
A_25_P00010019	7.45180860981738
A_25_P00010020	6.4459703073987
A_25_P00010021	5.76286321074179
A_25_P00010023	5.84696120704591
A_25_P00010024	5.70968808726004
A_25_P00010025	5.7600476930508
A_25_P00010026	5.7384776587812
A_25_P00010027	8.7387172299668
A_25_P00010028	6.8461873421204
A_25_P00010029	5.78242462528418
A_25_P00010030	5.8139974075303
A_25_P00010031	5.73546590151218
A_25_P00010032	5.69297390026039
A_25_P00010035	6.04552086724902
A_25_P00010036	6.1033807354072
A_25_P00010037	5.72493960842381
A_25_P00010038	5.67941992395549
A_25_P00010039	5.79224639454915
A_25_P00010040	5.71683150992382
A_25_P00010041	5.81014054792885
A_25_P00010042	5.79929750103418
A_25_P00010043	5.73489096777268
A_25_P00010044	5.73360914627194
A_25_P00010045	9.28357402990312
A_25_P00010046	7.733642995482
A_25_P00010047	8.98017648816208
A_25_P00010048	7.00723939926435
A_25_P00010049	5.8072803535504
A_25_P00010050	5.79276234714526
A_25_P00010051	5.81346223232627
A_25_P00010052	5.77661902002657
A_25_P00010053	14.7442864689237
A_25_P00010054	11.5136306533086
A_25_P00010055	5.79502136918885
A_25_P00010056	5.98203272282903
A_25_P00010057	5.94914101218583
A_25_P00010058	5.9055511641798
A_25_P00010059	6.26793190488209
A_25_P00010060	5.99157483975203
A_25_P00010061	6.5189767021106
A_25_P00010062	6.3887946166374
A_25_P00010063	5.94474068030809
A_25_P00010068	6.74940497789624
A_25_P00010069	7.52038105034583
A_25_P00010070	14.1558834229922
A_25_P00010071	13.2146884625692
A_25_P00010072	13.8199823744611
A_25_P00010073	12.0372389891171
A_25_P00010074	5.88257598319992
A_25_P00010075	5.8720478303527
A_25_P00010076	9.2358742559782
A_25_P00010077	8.99637093953643
A_25_P00010078	7.52975100175908
A_25_P00010079	6.347736274403
A_25_P00010080	5.77713563509892
A_25_P00010081	5.7544171671218
A_25_P00010082	14.3510215960428
A_25_P00010083	12.4724502388601
A_25_P00010084	8.06764640316453
A_25_P00010085	9.23564301981975
A_25_P00010086	12.9855947316597
A_25_P00010088	13.5903058432791
A_25_P00010089	10.8193596283343
A_25_P00010090	6.9369010503624
A_25_P00010091	7.70494550824277
A_25_P00010092	7.55905436129146
A_25_P00010093	5.86731291251942
A_25_P00010094	6.04386482461562
A_25_P00010095	5.69582245207411
A_25_P00010096	5.70613727612668
A_25_P00010097	7.81177973119751
A_25_P00010098	9.8921541281584
A_25_P00010099	5.98829132826871
A_25_P00010100	5.94904936618241
A_25_P00010101	7.9128515513084
A_25_P00010102	6.96781126532444
A_25_P00010103	6.79821573855581
A_25_P00010104	6.53602363584967
A_25_P00010109	12.8522324351441
A_25_P00010110	10.6862011432073
A_25_P00010113	10.1006583674769
A_25_P00010114	9.11527378314506
A_25_P00010115	7.22547026311608
A_25_P00010116	7.30139951845383
A_25_P00010117	5.98563092343612
A_25_P00010118	5.95828636238282
A_25_P00010119	5.95412355466771
A_25_P00010120	5.83748333174219
A_25_P00010121	5.66939396633766
A_25_P00010122	5.72982886281908
A_25_P00010123	5.73261605385505
A_25_P00010124	5.65233861044308
A_25_P00010125	10.4826018670691
A_25_P00010126	8.51448421112068
A_25_P00010127	5.72487791153953
A_25_P00010128	5.76885482235111
A_25_P00010129	7.05811703035457
A_25_P00010130	8.19125479746805
A_25_P00010131	6.69730889233106
A_25_P00010132	7.12343660504262
A_25_P00010133	8.80075656538199
A_25_P00010134	6.69788035879069
A_25_P00010135	5.87028928919642
A_25_P00010136	5.76786187365356
A_25_P00010137	5.7165546723874
A_25_P00010138	5.68959487885566
A_25_P00010141	6.87101811454133
A_25_P00010142	6.62655274642021
A_25_P00010147	5.79556448404064
A_25_P00010148	6.06256871699184
A_25_P00010149	6.60820919496649
A_25_P00010150	5.82534119797058
A_25_P00010151	5.94647718432631
A_25_P00010152	5.88280741406783
A_25_P00010153	9.11738894512556
A_25_P00010154	8.54416800186555
A_25_P00010155	5.98307865146791
A_25_P00010156	5.98739397125675
A_25_P00010157	5.98090384537619
A_25_P00010158	7.42969539816797
A_25_P00010159	6.11999540273831
A_25_P00010160	6.24326233633041
A_25_P00010161	5.8446766494833
A_25_P00010162	5.76050582848897
A_25_P00010163	5.72260607383214
A_25_P00010164	5.71789987859269
A_25_P00010165	5.86894080289864
A_25_P00010166	5.88215160191214
A_25_P00010167	6.12565713113325
A_25_P00010168	5.79149656037205
A_25_P00010169	5.73080310726801
A_25_P00010170	5.75868942162488
A_25_P00010171	5.6978031098208
A_25_P00010172	5.86767154727047
A_25_P00010173	5.79268051513286
A_25_P00010174	5.80153184266676
A_25_P00010175	5.73366814551468
A_25_P00010176	5.78187596400665
A_25_P00010177	5.72124117537917
A_25_P00010178	5.7363272092137
A_25_P00010179	5.83620534405851
A_25_P00010180	5.74215019374628
A_25_P00010181	5.7758800747028
A_25_P00010182	8.62144529056926
A_25_P00010183	6.60369212499037
A_25_P00010184	9.0679399066321
A_25_P00010185	10.2781807537194
A_25_P00010190	6.64060856322854
A_25_P00010191	6.26474978521814
A_25_P00010192	5.70467628754039
A_25_P00010193	5.72434478445544
