barcode	miRNA id	value
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART1-3p	5.78873278119881
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART1-5p	5.71115864971043
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART10	5.75485260050314
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART11-3p	6.02074138033586
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART11-5p	5.69003031630601
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART12	5.75904044541783
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART13	7.28970854395931
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART14-3p	5.73674287068692
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART14-5p	5.80206543645062
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART15	5.75993090824336
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART16	5.8563513535839
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART17-3p	5.8628126677134
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART17-5p	5.73408741054452
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART18	5.78656989209388
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART19	6.81032718279809
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART2	5.83269589090685
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART20-3p	5.75622186544096
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART20-5p	5.79717720861606
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART3-3p	5.70970935730443
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART3-5p	5.74214790856294
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART4	5.80940659719122
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART5	5.78925162793191
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART6-3p	5.7066309568105
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART6-5p	5.72851098750315
TCGA-06-0648-01A-01T-0309-07	ebv-miR-BART7	6.14161529072814
