barcode	miRNA id	value
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART1-3p	5.74922267776897
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART1-5p	5.74683577756288
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART10	5.79820164053522
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART11-3p	6.1088490055056
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART11-5p	5.72928042713224
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART12	5.74310591656522
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART13	7.70995510088295
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART14-3p	5.80628862696386
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART14-5p	5.79138932669878
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART15	5.77086466078252
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART16	5.84707360561048
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART17-3p	5.82480448481718
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART17-5p	5.85509623822576
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART18	5.76636540348907
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART19	5.92191689457882
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART2	5.80160196330332
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART20-3p	5.74271129409995
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART20-5p	5.75236425600256
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART3-3p	5.70443457168074
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART3-5p	5.80184883441785
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART4	5.80965122092214
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART5	5.78495017420083
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART6-3p	5.73519276836940
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART6-5p	5.75652373860828
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART7	6.2302877380386
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART8-3p	5.93191345691446
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART8-5p	5.74047638182009
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BART9	5.7951298240462
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BHRF1-1	5.89139778520173
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BHRF1-2	5.76066662771411
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BHRF1-2*	5.78969690336177
TCGA-19-0963-01B-01T-0525-07	ebv-miR-BHRF1-3	5.7186076681461
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-UL112	5.79266874963025
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-UL148D	6.02210955844648
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-UL22A	5.88958296657594
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-UL22A*	5.75097318239053
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-UL36	6.30930467492336
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-UL70-3p	7.5545556147185
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-UL70-5p	5.75517452210797
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-US25-1	5.988107876652
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-US25-2-3p	5.92602116104934
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-US25-2-5p	6.00193487506607
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-US33	6.43923692863829
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-US4	6.60772339652604
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-US5-1	5.84552100087797
TCGA-19-0963-01B-01T-0525-07	hcmv-miR-US5-2	5.72766995540113
TCGA-19-0963-01B-01T-0525-07	hsa-let-7a	14.0398648608102
TCGA-19-0963-01B-01T-0525-07	hsa-let-7b	14.6953939922941
TCGA-19-0963-01B-01T-0525-07	hsa-let-7c	13.3008936134717
TCGA-19-0963-01B-01T-0525-07	hsa-let-7d	11.4505446475848
TCGA-19-0963-01B-01T-0525-07	hsa-let-7e	12.2367152783329
TCGA-19-0963-01B-01T-0525-07	hsa-let-7f	11.3990330022511
TCGA-19-0963-01B-01T-0525-07	hsa-let-7g	11.1669551173959
TCGA-19-0963-01B-01T-0525-07	hsa-let-7i	10.1654629137182
TCGA-19-0963-01B-01T-0525-07	hsa-miR-1	5.96385479567932
TCGA-19-0963-01B-01T-0525-07	hsa-miR-100	9.76640209013004
TCGA-19-0963-01B-01T-0525-07	hsa-miR-101	10.3320201354830
TCGA-19-0963-01B-01T-0525-07	hsa-miR-103	10.9391713970989
TCGA-19-0963-01B-01T-0525-07	hsa-miR-105	5.84208017785098
TCGA-19-0963-01B-01T-0525-07	hsa-miR-106a	9.92810555460488
TCGA-19-0963-01B-01T-0525-07	hsa-miR-106b	10.4448066489979
TCGA-19-0963-01B-01T-0525-07	hsa-miR-107	11.675915889483
TCGA-19-0963-01B-01T-0525-07	hsa-miR-10a	6.81133597279175
TCGA-19-0963-01B-01T-0525-07	hsa-miR-10b	8.4110042704861
TCGA-19-0963-01B-01T-0525-07	hsa-miR-122a	5.77799022514682
TCGA-19-0963-01B-01T-0525-07	hsa-miR-124a	13.2359822296457
TCGA-19-0963-01B-01T-0525-07	hsa-miR-125a	11.3268003252133
TCGA-19-0963-01B-01T-0525-07	hsa-miR-125b	12.5055624154369
TCGA-19-0963-01B-01T-0525-07	hsa-miR-126	12.5428042584319
TCGA-19-0963-01B-01T-0525-07	hsa-miR-126*	6.31887590027071
TCGA-19-0963-01B-01T-0525-07	hsa-miR-127	9.31624229022588
TCGA-19-0963-01B-01T-0525-07	hsa-miR-128a	8.4258765038248
TCGA-19-0963-01B-01T-0525-07	hsa-miR-128b	9.00943981476235
TCGA-19-0963-01B-01T-0525-07	hsa-miR-129	8.50749141499257
TCGA-19-0963-01B-01T-0525-07	hsa-miR-130a	10.5394087880811
TCGA-19-0963-01B-01T-0525-07	hsa-miR-130b	7.946274976531
TCGA-19-0963-01B-01T-0525-07	hsa-miR-132	8.94409607316718
TCGA-19-0963-01B-01T-0525-07	hsa-miR-133a	6.34743980604052
TCGA-19-0963-01B-01T-0525-07	hsa-miR-133b	6.90116679174283
TCGA-19-0963-01B-01T-0525-07	hsa-miR-134	7.22848267894403
TCGA-19-0963-01B-01T-0525-07	hsa-miR-135a	6.17029578077495
TCGA-19-0963-01B-01T-0525-07	hsa-miR-135b	5.73398764540419
TCGA-19-0963-01B-01T-0525-07	hsa-miR-136	8.99237732482005
TCGA-19-0963-01B-01T-0525-07	hsa-miR-137	8.09437070514913
TCGA-19-0963-01B-01T-0525-07	hsa-miR-138	8.57869269027318
TCGA-19-0963-01B-01T-0525-07	hsa-miR-139	9.28821216181708
TCGA-19-0963-01B-01T-0525-07	hsa-miR-140	8.26694925881991
TCGA-19-0963-01B-01T-0525-07	hsa-miR-141	6.16231827443019
TCGA-19-0963-01B-01T-0525-07	hsa-miR-142-3p	8.147884093151
TCGA-19-0963-01B-01T-0525-07	hsa-miR-142-5p	7.29473820353836
TCGA-19-0963-01B-01T-0525-07	hsa-miR-143	10.3809393649311
TCGA-19-0963-01B-01T-0525-07	hsa-miR-144	6.6039695580253
TCGA-19-0963-01B-01T-0525-07	hsa-miR-145	11.4632531498668
TCGA-19-0963-01B-01T-0525-07	hsa-miR-146a	6.88873159516871
TCGA-19-0963-01B-01T-0525-07	hsa-miR-146b	6.98483019655602
TCGA-19-0963-01B-01T-0525-07	hsa-miR-147	5.73778425455124
TCGA-19-0963-01B-01T-0525-07	hsa-miR-148a	8.00120082053122
TCGA-19-0963-01B-01T-0525-07	hsa-miR-148b	7.23515187536413
TCGA-19-0963-01B-01T-0525-07	hsa-miR-149	10.1119552048266
TCGA-19-0963-01B-01T-0525-07	hsa-miR-150	6.35831465072014
TCGA-19-0963-01B-01T-0525-07	hsa-miR-151	8.02697707041103
TCGA-19-0963-01B-01T-0525-07	hsa-miR-152	7.43087028432758
TCGA-19-0963-01B-01T-0525-07	hsa-miR-153	6.0600360219653
TCGA-19-0963-01B-01T-0525-07	hsa-miR-154	6.70029052932936
TCGA-19-0963-01B-01T-0525-07	hsa-miR-154*	6.82175709605312
TCGA-19-0963-01B-01T-0525-07	hsa-miR-155	8.11071841798508
TCGA-19-0963-01B-01T-0525-07	hsa-miR-15a	8.90379284920499
TCGA-19-0963-01B-01T-0525-07	hsa-miR-15b	9.9220851918688
TCGA-19-0963-01B-01T-0525-07	hsa-miR-16	10.8353990186181
TCGA-19-0963-01B-01T-0525-07	hsa-miR-17-3p	7.77092666401425
TCGA-19-0963-01B-01T-0525-07	hsa-miR-17-5p	8.76007025706501
TCGA-19-0963-01B-01T-0525-07	hsa-miR-181a	9.69073996916165
TCGA-19-0963-01B-01T-0525-07	hsa-miR-181a*	6.54314458093833
TCGA-19-0963-01B-01T-0525-07	hsa-miR-181b	10.3865691561093
TCGA-19-0963-01B-01T-0525-07	hsa-miR-181c	9.00387913191708
TCGA-19-0963-01B-01T-0525-07	hsa-miR-181d	9.27082006152867
TCGA-19-0963-01B-01T-0525-07	hsa-miR-182	7.71074139966622
TCGA-19-0963-01B-01T-0525-07	hsa-miR-182*	5.87157820404867
TCGA-19-0963-01B-01T-0525-07	hsa-miR-183	6.62618065758916
TCGA-19-0963-01B-01T-0525-07	hsa-miR-184	6.22702535541056
TCGA-19-0963-01B-01T-0525-07	hsa-miR-185	9.08187405455634
TCGA-19-0963-01B-01T-0525-07	hsa-miR-186	7.16196638846484
TCGA-19-0963-01B-01T-0525-07	hsa-miR-187	5.92118640796746
TCGA-19-0963-01B-01T-0525-07	hsa-miR-188	7.05772942571903
TCGA-19-0963-01B-01T-0525-07	hsa-miR-189	6.22949948624828
TCGA-19-0963-01B-01T-0525-07	hsa-miR-18a	8.01850582586266
TCGA-19-0963-01B-01T-0525-07	hsa-miR-18a*	5.89146567191697
TCGA-19-0963-01B-01T-0525-07	hsa-miR-18b	6.29181742342254
TCGA-19-0963-01B-01T-0525-07	hsa-miR-190	5.79556577808856
TCGA-19-0963-01B-01T-0525-07	hsa-miR-191	7.1837109719572
TCGA-19-0963-01B-01T-0525-07	hsa-miR-191*	5.96103828513943
TCGA-19-0963-01B-01T-0525-07	hsa-miR-192	7.40922453686311
TCGA-19-0963-01B-01T-0525-07	hsa-miR-193a	7.34250221611667
TCGA-19-0963-01B-01T-0525-07	hsa-miR-193b	9.46980188080423
TCGA-19-0963-01B-01T-0525-07	hsa-miR-194	6.80346519688491
TCGA-19-0963-01B-01T-0525-07	hsa-miR-195	11.3228438984913
TCGA-19-0963-01B-01T-0525-07	hsa-miR-196a	6.74776552630638
TCGA-19-0963-01B-01T-0525-07	hsa-miR-196b	7.78097162037768
TCGA-19-0963-01B-01T-0525-07	hsa-miR-197	7.96334589647055
TCGA-19-0963-01B-01T-0525-07	hsa-miR-198	6.9431616946699
TCGA-19-0963-01B-01T-0525-07	hsa-miR-199a	6.85670096685445
TCGA-19-0963-01B-01T-0525-07	hsa-miR-199a*	7.50483296596705
TCGA-19-0963-01B-01T-0525-07	hsa-miR-199b	6.24438779957662
TCGA-19-0963-01B-01T-0525-07	hsa-miR-19a	8.8222381102746
TCGA-19-0963-01B-01T-0525-07	hsa-miR-19b	10.1774695166650
TCGA-19-0963-01B-01T-0525-07	hsa-miR-200a	5.89816090921005
TCGA-19-0963-01B-01T-0525-07	hsa-miR-200a*	6.27817919283381
TCGA-19-0963-01B-01T-0525-07	hsa-miR-200b	5.91564523550482
TCGA-19-0963-01B-01T-0525-07	hsa-miR-200c	6.2216795665667
TCGA-19-0963-01B-01T-0525-07	hsa-miR-202	7.92558928429442
TCGA-19-0963-01B-01T-0525-07	hsa-miR-202*	5.77721617140214
TCGA-19-0963-01B-01T-0525-07	hsa-miR-203	6.08146847277031
TCGA-19-0963-01B-01T-0525-07	hsa-miR-204	8.08360423997467
TCGA-19-0963-01B-01T-0525-07	hsa-miR-205	5.966905474851
TCGA-19-0963-01B-01T-0525-07	hsa-miR-206	5.95109672396328
TCGA-19-0963-01B-01T-0525-07	hsa-miR-208	5.67399692720869
TCGA-19-0963-01B-01T-0525-07	hsa-miR-20a	9.63086448294987
TCGA-19-0963-01B-01T-0525-07	hsa-miR-20b	8.48639068132658
TCGA-19-0963-01B-01T-0525-07	hsa-miR-21	11.7371915731565
TCGA-19-0963-01B-01T-0525-07	hsa-miR-210	9.5357628068392
TCGA-19-0963-01B-01T-0525-07	hsa-miR-211	5.83233713593154
TCGA-19-0963-01B-01T-0525-07	hsa-miR-212	8.54736256651217
TCGA-19-0963-01B-01T-0525-07	hsa-miR-214	7.68040303623092
TCGA-19-0963-01B-01T-0525-07	hsa-miR-215	6.78372043926585
TCGA-19-0963-01B-01T-0525-07	hsa-miR-216	5.86113287821146
TCGA-19-0963-01B-01T-0525-07	hsa-miR-217	5.85439958217641
TCGA-19-0963-01B-01T-0525-07	hsa-miR-218	8.93785136102423
TCGA-19-0963-01B-01T-0525-07	hsa-miR-219	12.5789859407693
TCGA-19-0963-01B-01T-0525-07	hsa-miR-22	12.0728868211599
TCGA-19-0963-01B-01T-0525-07	hsa-miR-220	5.75225776622123
TCGA-19-0963-01B-01T-0525-07	hsa-miR-221	6.89502803895258
TCGA-19-0963-01B-01T-0525-07	hsa-miR-222	9.44436558953612
TCGA-19-0963-01B-01T-0525-07	hsa-miR-223	9.845208718985
TCGA-19-0963-01B-01T-0525-07	hsa-miR-224	5.7979542691271
TCGA-19-0963-01B-01T-0525-07	hsa-miR-23a	8.78907383635938
TCGA-19-0963-01B-01T-0525-07	hsa-miR-23b	11.1254506775962
TCGA-19-0963-01B-01T-0525-07	hsa-miR-24	11.7027586071155
TCGA-19-0963-01B-01T-0525-07	hsa-miR-25	8.29727125238458
TCGA-19-0963-01B-01T-0525-07	hsa-miR-26a	12.0788955453922
TCGA-19-0963-01B-01T-0525-07	hsa-miR-26b	7.36102151858872
TCGA-19-0963-01B-01T-0525-07	hsa-miR-27a	9.10165019103867
TCGA-19-0963-01B-01T-0525-07	hsa-miR-27b	8.93591512949229
TCGA-19-0963-01B-01T-0525-07	hsa-miR-28	6.99239722282632
TCGA-19-0963-01B-01T-0525-07	hsa-miR-296	6.53045389755257
TCGA-19-0963-01B-01T-0525-07	hsa-miR-299-3p	6.98317484965817
TCGA-19-0963-01B-01T-0525-07	hsa-miR-299-5p	6.90432834544582
TCGA-19-0963-01B-01T-0525-07	hsa-miR-29a	12.7631601940694
TCGA-19-0963-01B-01T-0525-07	hsa-miR-29b	10.8918106991156
TCGA-19-0963-01B-01T-0525-07	hsa-miR-29c	10.9461922736716
TCGA-19-0963-01B-01T-0525-07	hsa-miR-301	8.90403022215595
TCGA-19-0963-01B-01T-0525-07	hsa-miR-302a	5.8431116229871
TCGA-19-0963-01B-01T-0525-07	hsa-miR-302a*	5.77248777129219
TCGA-19-0963-01B-01T-0525-07	hsa-miR-302b	5.77745891411029
TCGA-19-0963-01B-01T-0525-07	hsa-miR-302b*	5.76372823634241
TCGA-19-0963-01B-01T-0525-07	hsa-miR-302c	5.78817619865298
