barcode	miRNA id	value
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART1-3p	5.74381685196493
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART1-5p	5.7913058852293
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART10	5.95230957929873
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART11-3p	5.97024390949544
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART11-5p	5.73994318280682
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART12	5.94323986026497
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART13	7.69676509654556
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART14-3p	5.76543578835972
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART14-5p	5.7348075566031
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART15	5.72205213672723
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART16	6.21452905270332
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART17-3p	5.86522747400906
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART17-5p	5.8384396810739
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART18	5.74066224158947
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART19	7.44384868234032
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART2	5.91438492606369
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART20-3p	5.7240217754093
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART20-5p	5.74660277490773
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART3-3p	5.70797763789421
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART3-5p	5.78133324278864
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART4	5.90466907150949
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART5	5.78788913872602
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART6-3p	5.67328572473427
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART6-5p	5.71671616942697
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART7	6.151612547945
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART8-3p	5.96743694814807
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART8-5p	5.70177423319607
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BART9	5.74763098697086
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BHRF1-1	5.9236092494021
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BHRF1-2	5.72725856937603
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BHRF1-2*	5.77264845800675
TCGA-28-1756-01C-01T-0792-07	ebv-miR-BHRF1-3	5.70596118151301
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-UL112	5.82282358313347
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-UL148D	6.08947424781160
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-UL22A	5.79949368515427
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-UL22A*	5.71567159684953
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-UL36	6.37001999575094
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-UL70-3p	8.60905063396963
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-UL70-5p	5.68979585646109
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-US25-1	5.98442322256803
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-US25-2-3p	5.74717746429185
TCGA-28-1756-01C-01T-0792-07	hcmv-miR-US25-2-5p	5.97305038973315
