barcode	miRNA id	value
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART1-3p	5.75434358032674
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART1-5p	5.82250143739191
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART10	5.89952912033960
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART11-3p	6.03479274038162
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART11-5p	5.77391119269553
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART12	6.18763072787197
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART13	10.3749958991803
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART14-3p	5.81160238674201
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART14-5p	5.79765510298838
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART15	5.8872791670469
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART16	6.62784044585834
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART17-3p	5.99041591393581
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART17-5p	5.87038042565896
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART18	5.78512290489507
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART19	12.0853809943200
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART2	5.83043877479396
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART20-3p	5.79584814338687
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART20-5p	5.77123899643741
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART3-3p	5.80232936363996
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART3-5p	5.97478985609858
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART4	6.01525951787128
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART5	5.78726602131354
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART6-3p	5.75055267051994
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART6-5p	5.74379302782906
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART7	6.81780186161055
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART8-3p	6.20123641625999
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART8-5p	5.77379622757267
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BART9	5.82908388700127
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BHRF1-1	5.9378000588884
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BHRF1-2	5.77680619316566
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BHRF1-2*	5.82096490295865
TCGA-28-5213-01A-01T-1485-07	ebv-miR-BHRF1-3	5.75251323321528
TCGA-28-5213-01A-01T-1485-07	hcmv-miR-UL112	5.80970572968443
TCGA-28-5213-01A-01T-1485-07	hcmv-miR-UL148D	6.13141390087416
TCGA-28-5213-01A-01T-1485-07	hcmv-miR-UL22A	5.99924303342778
TCGA-28-5213-01A-01T-1485-07	hcmv-miR-UL22A*	5.79574298324119
TCGA-28-5213-01A-01T-1485-07	hcmv-miR-UL36	6.50171186338192
TCGA-28-5213-01A-01T-1485-07	hcmv-miR-UL70-3p	9.7342516666622
TCGA-28-5213-01A-01T-1485-07	hcmv-miR-UL70-5p	5.71060389960805
TCGA-28-5213-01A-01T-1485-07	hcmv-miR-US25-1	6.07254707798761
TCGA-28-5213-01A-01T-1485-07	hcmv-miR-US25-2-3p	5.78547381835097
