GSM215421	GSM215424	GSM215420	GSM215422	GSM215423	GSM215425	GSM215426	GSM215427	GSM215418	GSM215428	GSM215429	GSM215419	gene
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string
disease state=low grade anaplastic mixed glioma	disease state=low grade anaplastic mixed glioma	disease state=high grade glioblastoma	disease state=high grade glioblastoma	disease state=high grade glioblastoma	disease state=high grade glioblastoma	disease state=high grade glioblastoma	disease state=high grade glioblastoma	disease state=high grade glioblastoma/gliosarcoma	disease state=high grade gliosarcoma	disease state=high grade gliosarcoma	disease state=low grade oligodendroglioma	meta
177.382	145.680	165.471	228.855	178.085	113.126	197.387	217.809	292.677	204.379	253.301	234.738	RNF14
478.298	461.218	560.739	301.709	501.968	510.982	432.489	424.805	460.336	511.005	440.705	589.402	UBE2Q1
70.952	52.208	69.266	53.695	64.466	77.011	77.662	59.815	58.192	65.838	62.020	77.868	RNF17
252.624	284.159	255.053	262.713	256.956	312.909	323.505	286.604	268.784	272.956	295.153	181.337	RNF10
579.808	543.025	560.767	553.429	646.186	623.310	520.518	521.305	542.180	489.529	584.159	471.479	RNF11
573.775	845.464	550.282	563.273	532.630	962.852	554.409	566.883	797.995	1074.310	1024.021	737.610	RNF13
22.994	10.228	42.259	25.712	7.619	29.005	37.364	15.402	33.840	26.135	28.156	19.053	NM_016646
127.495	123.024	227.774	107.671	144.525	197.135	201.762	188.685	122.476	143.119	177.565	202.207	REM1
30.458	26.663	23.153	21.156	29.312	35.201	33.563	28.462	24.722	24.973	29.189	32.801	TSKS
194.527	154.658	195.606	250.706	293.917	98.270	358.141	204.335	234.428	231.823	246.240	372.955	ATRX
83.917	71.557	166.356	148.683	134.715	120.867	106.191	156.692	139.116	144.938	129.591	113.980	PMM2
301.603	278.137	165.739	353.961	183.431	138.635	204.333	193.192	140.564	163.824	221.696	153.409	PMM1
64.785	63.383	52.068	735.313	102.515	83.739	53.046	183.880	144.161	174.354	368.531	37.555	ASS1
57.804	72.022	113.655	107.916	75.758	73.454	146.609	107.610	75.878	93.261	71.454	55.104	NCBP1
60.566	46.791	62.983	36.442	61.034	98.935	80.575	63.860	48.215	55.125	70.808	80.792	AW979289
37.198	51.409	61.718	354.568	124.995	72.455	186.675	515.530	321.989	222.786	90.492	147.737	NID2
138.126	78.130	90.176	120.365	165.240	132.528	79.767	111.613	256.250	91.794	178.150	114.294	CAMK1
179.491	261.591	194.759	224.688	339.384	242.903	143.087	214.080	206.478	200.886	268.573	238.049	STYXL1
164.629	159.302	201.186	195.372	146.454	172.024	132.271	179.280	143.436	138.408	213.500	176.268	SPR
71.538	69.104	73.811	61.181	65.355	90.602	81.987	81.578	60.226	56.539	71.858	75.413	CEACAM3
301.189	343.193	365.902	352.709	339.110	418.803	312.979	346.583	331.136	380.836	338.626	387.910	RNF114
357.377	424.769	273.869	204.921	368.054	452.814	378.227	333.143	432.989	465.249	284.470	399.987	RNF115
181.956	233.657	301.746	242.651	283.591	214.934	261.671	255.242	282.132	210.623	248.004	259.557	ZC3H15
265.493	256.876	191.391	272.958	351.437	375.366	213.087	279.426	264.722	308.599	247.546	252.584	ZC3H14
17.928	20.445	25.875	31.483	23.130	46.491	27.150	23.726	27.730	23.917	37.383	22.807	SPN
121.533	116.137	96.530	179.397	216.466	201.801	55.173	134.567	140.625	109.122	190.949	143.108	NME5
2473.891	2697.888	2539.996	2310.551	1259.325	3062.791	2637.603	2534.508	2148.995	2017.224	2562.143	2389.438	NACAP1
66.089	54.160	36.802	39.293	41.140	38.097	44.203	34.636	29.596	19.923	35.088	38.456	GRIN1
73.370	58.257	104.001	104.823	76.545	49.829	61.548	76.840	80.429	94.952	66.060	76.288	DHX8
161.095	142.309	229.961	193.469	73.211	98.249	155.328	107.192	79.249	95.232	105.532	157.102	DHX9
3.586	11.437	15.429	12.343	21.408	14.086	3.986	1.991	14.923	5.874	11.350	17.268	LOC441204
94.340	83.489	83.978	86.308	106.025	84.571	100.741	81.151	92.022	97.052	93.989	74.447	TCOF1
106.551	83.500	164.949	152.720	123.127	113.764	74.581	119.795	160.440	145.095	105.808	131.506	NUP98
326.624	375.552	280.202	310.460	203.958	326.240	270.432	220.335	470.732	414.175	331.718	415.387	XPC
53.299	46.101	77.411	55.418	53.850	76.879	74.206	68.713	60.184	67.596	51.435	69.232	SP1
89.834	137.179	85.868	97.219	113.416	98.965	96.108	81.012	55.798	96.113	86.877	98.918	SP2
42.092	32.471	47.000	33.056	43.880	66.333	54.444	53.729	43.254	40.283	42.868	59.239	CEACAM6
118.948	123.798	218.730	134.035	234.870	50.775	426.202	146.452	111.144	118.324	74.186	161.433	NUP93
26.990	29.261	43.335	35.855	19.290	19.282	49.522	30.329	26.577	30.549	30.973	50.193	KLRA1
151.845	164.033	194.859	133.894	56.592	205.970	184.095	117.018	140.703	140.002	196.872	161.741	AA126763
103.781	80.789	93.778	189.150	62.195	84.380	51.580	48.362	89.041	45.936	90.521	75.761	GOLIM4
5.641	16.692	26.279	14.577	11.759	11.193	15.350	31.535	50.573	37.720	20.271	20.551	OPA3
257.657	201.989	248.546	207.321	272.630	243.154	252.942	185.165	196.242	236.285	213.931	291.490	OPA1
38.275	24.831	47.945	37.384	27.270	46.054	54.277	35.407	31.968	31.801	44.396	48.545	AL122122
83.283	57.662	122.651	46.217	55.264	113.108	117.871	75.515	62.683	67.566	73.691	88.663	RAB40C
166.648	280.389	80.764	69.509	140.973	113.447	215.393	57.807	166.403	403.680	439.770	123.058	RAB40B
4.501	1.000	6.964	8.418	4.608	3.736	11.503	7.380	1.620	6.637	8.860	6.623	RAB40A
102.493	70.284	68.034	83.463	39.673	136.132	35.811	87.620	191.602	727.214	94.650	115.266	COL7A1
87.150	96.061	130.527	92.544	88.610	101.671	212.350	115.590	74.978	82.297	95.666	69.902	GTSE1
