barcode	gene symbol	value
TCGA-02-0001-01C-01R-0179-07	15E1.2	-1.0698
TCGA-02-0001-01C-01R-0179-07	2'-PDE	0.37135
TCGA-02-0001-01C-01R-0179-07	7A5	-1.58433333333333
TCGA-02-0001-01C-01R-0179-07	A1BG	0.708875
TCGA-02-0001-01C-01R-0179-07	A2BP1	2.42075
TCGA-02-0001-01C-01R-0179-07	A2M	2.8104
TCGA-02-0001-01C-01R-0179-07	A2ML1	0.304666666666667
TCGA-02-0001-01C-01R-0179-07	A3GALT2	-0.0756
TCGA-02-0001-01C-01R-0179-07	A4GALT	-0.37675
TCGA-02-0001-01C-01R-0179-07	A4GNT	0.203333333333333
TCGA-02-0001-01C-01R-0179-07	AAAS	0.1416
TCGA-02-0001-01C-01R-0179-07	AACS	-0.958
TCGA-02-0001-01C-01R-0179-07	AADAC	-0.0292
TCGA-02-0001-01C-01R-0179-07	AADACL1	0.5818
TCGA-02-0001-01C-01R-0179-07	AADACL2	0.115
TCGA-02-0001-01C-01R-0179-07	AADACL3	0.154666666666667
TCGA-02-0001-01C-01R-0179-07	AADACL4	-0.512333333333333
TCGA-02-0001-01C-01R-0179-07	AADAT	-0.063
TCGA-02-0001-01C-01R-0179-07	AAK1	0.173764705882353
TCGA-02-0001-01C-01R-0179-07	AAMP	-0.4704
TCGA-02-0001-01C-01R-0179-07	AANAT	0.209
TCGA-02-0001-01C-01R-0179-07	AARS	-0.8205
TCGA-02-0001-01C-01R-0179-07	AARS2	-0.571
TCGA-02-0001-01C-01R-0179-07	AARSD1	-0.7017
TCGA-02-0001-01C-01R-0179-07	AASDH	-0.224090909090909
TCGA-02-0001-01C-01R-0179-07	AASDHPPT	-0.0440769230769231
TCGA-02-0001-01C-01R-0179-07	AASS	1.702
TCGA-02-0001-01C-01R-0179-07	AATF	-0.9273
TCGA-02-0001-01C-01R-0179-07	AATK	0.492307692307692
TCGA-02-0001-01C-01R-0179-07	ABAT	1.27976923076923
TCGA-02-0001-01C-01R-0179-07	ABBA-1	0.604733333333333
TCGA-02-0001-01C-01R-0179-07	ABCA1	2.939125
TCGA-02-0001-01C-01R-0179-07	ABCA10	-0.028
TCGA-02-0001-01C-01R-0179-07	ABCA11	-1.26233333333333
TCGA-02-0001-01C-01R-0179-07	ABCA12	-2.4212
TCGA-02-0001-01C-01R-0179-07	ABCA13	0.477818181818182
TCGA-02-0001-01C-01R-0179-07	ABCA2	0.7084
TCGA-02-0001-01C-01R-0179-07	ABCA3	1.50590909090909
TCGA-02-0001-01C-01R-0179-07	ABCA4	-0.324888888888889
TCGA-02-0001-01C-01R-0179-07	ABCA5	-1.5068
TCGA-02-0001-01C-01R-0179-07	ABCA6	0.729538461538462
TCGA-02-0001-01C-01R-0179-07	ABCA7	-2.0746
TCGA-02-0001-01C-01R-0179-07	ABCA8	2.2072
TCGA-02-0001-01C-01R-0179-07	ABCA9	1.01238461538462
TCGA-02-0001-01C-01R-0179-07	ABCB1	1.89345454545455
TCGA-02-0001-01C-01R-0179-07	ABCB10	-0.97925
TCGA-02-0001-01C-01R-0179-07	ABCB11	0.022
TCGA-02-0001-01C-01R-0179-07	ABCB4	-0.257
