barcode	gene symbol	value
TCGA-06-1804-01A-01R-1700-07	15E1.2	-1.3988
TCGA-06-1804-01A-01R-1700-07	2'-PDE	-0.1128
TCGA-06-1804-01A-01R-1700-07	7A5	-0.447333333333333
TCGA-06-1804-01A-01R-1700-07	A1BG	-1.64025
TCGA-06-1804-01A-01R-1700-07	A2BP1	2.547875
TCGA-06-1804-01A-01R-1700-07	A2M	1.2166
TCGA-06-1804-01A-01R-1700-07	A2ML1	0.601333333333333
TCGA-06-1804-01A-01R-1700-07	A3GALT2	0.0558
TCGA-06-1804-01A-01R-1700-07	A4GALT	-0.91675
TCGA-06-1804-01A-01R-1700-07	A4GNT	-0.330333333333333
TCGA-06-1804-01A-01R-1700-07	AAAS	-0.3658
TCGA-06-1804-01A-01R-1700-07	AACS	-1.2242
TCGA-06-1804-01A-01R-1700-07	AADAC	-1.3336
TCGA-06-1804-01A-01R-1700-07	AADACL1	-1.415
TCGA-06-1804-01A-01R-1700-07	AADACL2	-0.1822
TCGA-06-1804-01A-01R-1700-07	AADACL3	0.269
TCGA-06-1804-01A-01R-1700-07	AADACL4	-0.271666666666667
TCGA-06-1804-01A-01R-1700-07	AADAT	0.1323
TCGA-06-1804-01A-01R-1700-07	AAK1	-0.1580625
TCGA-06-1804-01A-01R-1700-07	AAMP	0.2168
TCGA-06-1804-01A-01R-1700-07	AANAT	0.0113333333333333
TCGA-06-1804-01A-01R-1700-07	AARS	-0.488875
TCGA-06-1804-01A-01R-1700-07	AARS2	-0.34875
TCGA-06-1804-01A-01R-1700-07	AARSD1	-0.8898
TCGA-06-1804-01A-01R-1700-07	AASDH	0.792363636363636
TCGA-06-1804-01A-01R-1700-07	AASDHPPT	-0.165153846153846
TCGA-06-1804-01A-01R-1700-07	AASS	1.3988
TCGA-06-1804-01A-01R-1700-07	AATF	-0.6051
TCGA-06-1804-01A-01R-1700-07	AATK	-0.0453846153846154
TCGA-06-1804-01A-01R-1700-07	ABAT	2.56238461538462
TCGA-06-1804-01A-01R-1700-07	ABBA-1	0.471533333333333
TCGA-06-1804-01A-01R-1700-07	ABCA1	2.157
TCGA-06-1804-01A-01R-1700-07	ABCA10	-0.334
TCGA-06-1804-01A-01R-1700-07	ABCA11	1.229
