barcode	gene symbol	value
TCGA-76-6661-01B-11R-1847-07	15E1.2	-1.312
TCGA-76-6661-01B-11R-1847-07	2'-PDE	0.5042
TCGA-76-6661-01B-11R-1847-07	7A5	-1.76933333333333
TCGA-76-6661-01B-11R-1847-07	A1BG	-0.526375
TCGA-76-6661-01B-11R-1847-07	A2BP1	1.376125
TCGA-76-6661-01B-11R-1847-07	A2M	1.8188
TCGA-76-6661-01B-11R-1847-07	A2ML1	0.887666666666667
TCGA-76-6661-01B-11R-1847-07	A3GALT2	0.4472
TCGA-76-6661-01B-11R-1847-07	A4GALT	-0.327375
TCGA-76-6661-01B-11R-1847-07	A4GNT	-0.364333333333333
TCGA-76-6661-01B-11R-1847-07	AAAS	-0.7612
TCGA-76-6661-01B-11R-1847-07	AACS	-1.2508
TCGA-76-6661-01B-11R-1847-07	AADAC	-1.7364
TCGA-76-6661-01B-11R-1847-07	AADACL1	0.134
TCGA-76-6661-01B-11R-1847-07	AADACL2	-1.3924
TCGA-76-6661-01B-11R-1847-07	AADACL3	0.462333333333333
TCGA-76-6661-01B-11R-1847-07	AADACL4	0.164333333333333
TCGA-76-6661-01B-11R-1847-07	AADAT	-0.4661
TCGA-76-6661-01B-11R-1847-07	AAK1	0.288470588235294
TCGA-76-6661-01B-11R-1847-07	AAMP	-0.3558
TCGA-76-6661-01B-11R-1847-07	AANAT	0.224666666666667
TCGA-76-6661-01B-11R-1847-07	AARS	-0.082875
TCGA-76-6661-01B-11R-1847-07	AARS2	-0.7875
TCGA-76-6661-01B-11R-1847-07	AARSD1	-0.7142
TCGA-76-6661-01B-11R-1847-07	AASDH	0.756272727272727
TCGA-76-6661-01B-11R-1847-07	AASDHPPT	-0.210153846153846
TCGA-76-6661-01B-11R-1847-07	AASS	0.6988
TCGA-76-6661-01B-11R-1847-07	AATF	-0.251
TCGA-76-6661-01B-11R-1847-07	AATK	0.388384615384615
TCGA-76-6661-01B-11R-1847-07	ABAT	1.65384615384615
TCGA-76-6661-01B-11R-1847-07	ABBA-1	1.26266666666667
TCGA-76-6661-01B-11R-1847-07	ABCA1	1.977375
TCGA-76-6661-01B-11R-1847-07	ABCA10	-1.203
TCGA-76-6661-01B-11R-1847-07	ABCA11	-0.033
TCGA-76-6661-01B-11R-1847-07	ABCA12	-4.0188
TCGA-76-6661-01B-11R-1847-07	ABCA13	-0.282363636363636
TCGA-76-6661-01B-11R-1847-07	ABCA2	0.3374
TCGA-76-6661-01B-11R-1847-07	ABCA3	2.28763636363636
TCGA-76-6661-01B-11R-1847-07	ABCA4	-0.719666666666667
TCGA-76-6661-01B-11R-1847-07	ABCA5	-0.1536
TCGA-76-6661-01B-11R-1847-07	ABCA6	3.92469230769231
TCGA-76-6661-01B-11R-1847-07	ABCA7	-1.6174
TCGA-76-6661-01B-11R-1847-07	ABCA8	4.3328
TCGA-76-6661-01B-11R-1847-07	ABCA9	2.99341666666667
TCGA-76-6661-01B-11R-1847-07	ABCB1	2.52327272727273
TCGA-76-6661-01B-11R-1847-07	ABCB10	-1.18291666666667
TCGA-76-6661-01B-11R-1847-07	ABCB11	0.266666666666667
TCGA-76-6661-01B-11R-1847-07	ABCB4	0.7468
TCGA-76-6661-01B-11R-1847-07	ABCB5	0.00233333333333334
TCGA-76-6661-01B-11R-1847-07	ABCB6	-0.0469230769230769
TCGA-76-6661-01B-11R-1847-07	ABCB7	0.1072
TCGA-76-6661-01B-11R-1847-07	ABCB8	-1.07875
TCGA-76-6661-01B-11R-1847-07	ABCB9	-0.099625
TCGA-76-6661-01B-11R-1847-07	ABCC1	-2.3495
TCGA-76-6661-01B-11R-1847-07	ABCC10	-1.322
TCGA-76-6661-01B-11R-1847-07	ABCC11	0.513875
