barcode	gene symbol	value
TCGA-02-0006-01B-01R-0179-07	15E1.2	-1.4202
TCGA-02-0006-01B-01R-0179-07	2'-PDE	-0.25835
TCGA-02-0006-01B-01R-0179-07	7A5	-0.679
TCGA-02-0006-01B-01R-0179-07	A1BG	1.049125
TCGA-02-0006-01B-01R-0179-07	A2BP1	1.36725
TCGA-02-0006-01B-01R-0179-07	A2M	3.3224
TCGA-02-0006-01B-01R-0179-07	A2ML1	1.362
TCGA-02-0006-01B-01R-0179-07	A3GALT2	-0.0168
TCGA-02-0006-01B-01R-0179-07	A4GALT	0.523875
TCGA-02-0006-01B-01R-0179-07	A4GNT	0.204
TCGA-02-0006-01B-01R-0179-07	AAAS	-1.2186
TCGA-02-0006-01B-01R-0179-07	AACS	-1.4358
TCGA-02-0006-01B-01R-0179-07	AADAC	0.3394
TCGA-02-0006-01B-01R-0179-07	AADACL1	0.3278
TCGA-02-0006-01B-01R-0179-07	AADACL2	0.2164
TCGA-02-0006-01B-01R-0179-07	AADACL3	0.198333333333333
TCGA-02-0006-01B-01R-0179-07	AADACL4	-0.307333333333333
TCGA-02-0006-01B-01R-0179-07	AADAT	0.4243
TCGA-02-0006-01B-01R-0179-07	AAK1	0.0741764705882353
TCGA-02-0006-01B-01R-0179-07	AAMP	-0.619
TCGA-02-0006-01B-01R-0179-07	AANAT	0.272
TCGA-02-0006-01B-01R-0179-07	AARS	-1.058375
TCGA-02-0006-01B-01R-0179-07	AARS2	-0.275
TCGA-02-0006-01B-01R-0179-07	AARSD1	-0.4334
TCGA-02-0006-01B-01R-0179-07	AASDH	0.479545454545455
TCGA-02-0006-01B-01R-0179-07	AASDHPPT	0.585846153846154
TCGA-02-0006-01B-01R-0179-07	AASS	0.8626
TCGA-02-0006-01B-01R-0179-07	AATF	-0.9278
TCGA-02-0006-01B-01R-0179-07	AATK	0.894307692307692
TCGA-02-0006-01B-01R-0179-07	ABAT	2.01676923076923
TCGA-02-0006-01B-01R-0179-07	ABBA-1	0.536066666666667
TCGA-02-0006-01B-01R-0179-07	ABCA1	3.087875
TCGA-02-0006-01B-01R-0179-07	ABCA10	0.0316666666666667
TCGA-02-0006-01B-01R-0179-07	ABCA11	-0.885
TCGA-02-0006-01B-01R-0179-07	ABCA12	-2.3854
TCGA-02-0006-01B-01R-0179-07	ABCA13	0.897545454545455
TCGA-02-0006-01B-01R-0179-07	ABCA2	-1.1176
TCGA-02-0006-01B-01R-0179-07	ABCA3	0.809545454545454
TCGA-02-0006-01B-01R-0179-07	ABCA4	-0.650111111111111
TCGA-02-0006-01B-01R-0179-07	ABCA5	0.2689
TCGA-02-0006-01B-01R-0179-07	ABCA6	0.907384615384615
TCGA-02-0006-01B-01R-0179-07	ABCA7	-1.875
TCGA-02-0006-01B-01R-0179-07	ABCA8	1.482
TCGA-02-0006-01B-01R-0179-07	ABCA9	0.379769230769231
TCGA-02-0006-01B-01R-0179-07	ABCB1	0.176181818181818
TCGA-02-0006-01B-01R-0179-07	ABCB10	-1.12933333333333
TCGA-02-0006-01B-01R-0179-07	ABCB11	-0.0256666666666667
TCGA-02-0006-01B-01R-0179-07	ABCB4	0.2046
TCGA-02-0006-01B-01R-0179-07	ABCB5	0.0453333333333333
TCGA-02-0006-01B-01R-0179-07	ABCB6	-0.0309230769230769
TCGA-02-0006-01B-01R-0179-07	ABCB7	-0.244
TCGA-02-0006-01B-01R-0179-07	ABCB8	-0.921625
TCGA-02-0006-01B-01R-0179-07	ABCB9	0.03975
TCGA-02-0006-01B-01R-0179-07	ABCC1	-2.5655
TCGA-02-0006-01B-01R-0179-07	ABCC10	-0.5774
TCGA-02-0006-01B-01R-0179-07	ABCC11	0.86475
TCGA-02-0006-01B-01R-0179-07	ABCC12	0.119125
TCGA-02-0006-01B-01R-0179-07	ABCC13	0.0617272727272727
TCGA-02-0006-01B-01R-0179-07	ABCC2	-2.78666666666667
TCGA-02-0006-01B-01R-0179-07	ABCC3	0.273818181818182
TCGA-02-0006-01B-01R-0179-07	ABCC4	-1.663
TCGA-02-0006-01B-01R-0179-07	ABCC5	-0.369733333333333
