barcode	gene symbol	value
TCGA-02-0021-01A-01R-0179-07	15E1.2	-1.6478
TCGA-02-0021-01A-01R-0179-07	2'-PDE	0.21655
TCGA-02-0021-01A-01R-0179-07	7A5	-1.147
TCGA-02-0021-01A-01R-0179-07	A1BG	0.11825
TCGA-02-0021-01A-01R-0179-07	A2BP1	0.209625
TCGA-02-0021-01A-01R-0179-07	A2M	1.8038
TCGA-02-0021-01A-01R-0179-07	A2ML1	0.274333333333333
TCGA-02-0021-01A-01R-0179-07	A3GALT2	-0.0948
TCGA-02-0021-01A-01R-0179-07	A4GALT	-0.596125
TCGA-02-0021-01A-01R-0179-07	A4GNT	-0.007
TCGA-02-0021-01A-01R-0179-07	AAAS	-0.0928
TCGA-02-0021-01A-01R-0179-07	AACS	-1.0614
TCGA-02-0021-01A-01R-0179-07	AADAC	-0.1514
TCGA-02-0021-01A-01R-0179-07	AADACL1	-0.8132
TCGA-02-0021-01A-01R-0179-07	AADACL2	0.3238
TCGA-02-0021-01A-01R-0179-07	AADACL3	0.0593333333333333
TCGA-02-0021-01A-01R-0179-07	AADACL4	-0.737333333333333
TCGA-02-0021-01A-01R-0179-07	AADAT	0.1321
TCGA-02-0021-01A-01R-0179-07	AAK1	0.0708235294117647
TCGA-02-0021-01A-01R-0179-07	AAMP	0.0326
TCGA-02-0021-01A-01R-0179-07	AANAT	0.118666666666667
TCGA-02-0021-01A-01R-0179-07	AARS	-0.5985
TCGA-02-0021-01A-01R-0179-07	AARS2	-0.209625
TCGA-02-0021-01A-01R-0179-07	AARSD1	-0.6774
TCGA-02-0021-01A-01R-0179-07	AASDH	0.140272727272727
TCGA-02-0021-01A-01R-0179-07	AASDHPPT	-0.0529230769230769
TCGA-02-0021-01A-01R-0179-07	AASS	1.7802
TCGA-02-0021-01A-01R-0179-07	AATF	-0.5617
TCGA-02-0021-01A-01R-0179-07	AATK	0.345076923076923
TCGA-02-0021-01A-01R-0179-07	ABAT	1.55146153846154
TCGA-02-0021-01A-01R-0179-07	ABBA-1	0.715533333333333
TCGA-02-0021-01A-01R-0179-07	ABCA1	2.095125
TCGA-02-0021-01A-01R-0179-07	ABCA10	0.083
TCGA-02-0021-01A-01R-0179-07	ABCA11	0.472666666666667
TCGA-02-0021-01A-01R-0179-07	ABCA12	-3.0038
TCGA-02-0021-01A-01R-0179-07	ABCA13	0.353727272727273
TCGA-02-0021-01A-01R-0179-07	ABCA2	0.214
TCGA-02-0021-01A-01R-0179-07	ABCA3	1.04836363636364
TCGA-02-0021-01A-01R-0179-07	ABCA4	-0.0651111111111111
TCGA-02-0021-01A-01R-0179-07	ABCA5	-0.7962
TCGA-02-0021-01A-01R-0179-07	ABCA6	1.404
TCGA-02-0021-01A-01R-0179-07	ABCA7	-2.3036
TCGA-02-0021-01A-01R-0179-07	ABCA8	2.58
TCGA-02-0021-01A-01R-0179-07	ABCA9	0.983230769230769
TCGA-02-0021-01A-01R-0179-07	ABCB1	1.53981818181818
TCGA-02-0021-01A-01R-0179-07	ABCB10	-0.8325
TCGA-02-0021-01A-01R-0179-07	ABCB11	-0.0273333333333333
TCGA-02-0021-01A-01R-0179-07	ABCB4	-0.0038
TCGA-02-0021-01A-01R-0179-07	ABCB5	0.180333333333333
TCGA-02-0021-01A-01R-0179-07	ABCB6	-0.410076923076923
TCGA-02-0021-01A-01R-0179-07	ABCB7	-0.1658
TCGA-02-0021-01A-01R-0179-07	ABCB8	0.154125
TCGA-02-0021-01A-01R-0179-07	ABCB9	0.23025
TCGA-02-0021-01A-01R-0179-07	ABCC1	-2.303875
TCGA-02-0021-01A-01R-0179-07	ABCC10	-0.4718
TCGA-02-0021-01A-01R-0179-07	ABCC11	-0.572875
